Year Temperature Forcing
1850 -0.49513 0.1341778
1851 -0.58944 0.15351
1852 -0.57824 0.1586636
1853 -0.4305 0.1829333
1854 -0.49998 0.1589385
1855 -0.50378 0.08486429
1856 -0.54991 -0.7265867
1857 -0.82606 -1.249675
1858 -0.66468 -0.4731588
1859 -0.52093 -0.01214118
1860 -0.3877 0.1594235
1861 -0.47517 0.1892765
1862 -0.39187 -0.04212941
1863 -0.65394 0.08555294
1864 -0.46965 0.2104706
1865 -0.47667 0.2418294
1866 -0.54462 0.2649059
1867 -0.41209 0.2843941
1868 -0.44567 0.3146118
1869 -0.38 0.3666118
1870 -0.32585 0.4340765
1871 -0.23956 0.462
1872 -0.31104 0.4753
1873 -0.26768 0.3788941
1874 -0.26606 0.4232235
1875 -0.23123 0.3795235
1876 -0.28104 0.2728235
1877 -0.24452 0.3539294
1878 -0.40595 0.4225235
1879 -0.23765 0.5126
1880 -0.18722 0.5329765
1881 -0.20356 0.6168882
1882 -0.20046 0.5208765
1883 -0.29928 -0.5713824
1884 -0.80199 -2.747371
1885 -0.57111 -0.9169294
1886 -0.60154 -0.3230588
1887 -0.46348 -0.3848647
1888 -0.54176 -0.0432
1889 -0.57815 -0.1954353
1890 -0.44281 -0.4350588
1891 -0.71182 -0.1657118
1892 -0.58526 0.04841177
1893 -0.49137 0.3613765
1894 -0.37853 0.4516176
1895 -0.31676 0.3428235
1896 -0.39915 -0.1568353
1897 -0.33763 -0.1260706
1898 -0.28893 -0.05205882
1899 -0.2329 0.1521353
1900 -0.29755 0.2569471
1901 -0.28475 0.2439647
1902 -0.27742 -0.2278824
1903 -0.70444 -1.381547
1904 -0.70809 -0.4357118
1905 -0.6056 -0.06461765
1906 -0.49888 0.06906471
1907 -0.47502 0.01302941
1908 -0.5486 0.004141176
1909 -0.47265 0.1350412
1910 -0.57698 0.1173706
1911 -0.55665 0.1653706
1912 -0.53468 -0.1210588
1913 -0.58141 -0.2237294
1914 -0.504 0.09588824
1915 -0.4014 0.2639118
1916 -0.35924 0.3894176
1917 -0.35693 0.4276235
1918 -0.36382 0.4622647
1919 -0.35153 0.4426529
1920 -0.15428 0.2591647
1921 -0.3247 0.3219412
1922 -0.25871 0.4509235
1923 -0.3167 0.5302647
1924 -0.26175 0.4951588
1925 -0.15811 0.5294294
1926 -0.23336 0.5533941
1927 0.0030385 0.6115353
1928 -0.14186 0.5001118
1929 -0.2335 0.3734765
1930 -0.28226 0.4847471
1931 -0.061873 0.5205882
1932 -0.16396 0.4126588
1933 -0.093492 0.4282882
1934 -0.1515 0.4613471
1935 -0.14975 0.4741176
1936 -0.24743 0.5698235
1937 -0.1301 0.5714471
1938 -0.098787 0.4818765
1939 -0.18379 0.4935941
1940 -0.19289 0.5031
1941 -0.18117 0.4872
1942 -0.17937 0.4139
1943 -0.16969 0.3885529
1944 -0.15067 0.4845647
1945 -0.13858 0.4959412
1946 -0.1388 0.5077882
1947 -0.13511 0.5587176
1948 -0.17425 0.5762412
1949 -0.09764 0.5722412
1950 -0.24337 0.5450235
1951 -0.22549 0.5704118
1952 -0.15921 0.5434588
1953 -0.11565 0.5439412
1954 -0.20585 0.5839176
1955 -0.17162 0.5925588
1956 -0.18426 0.7073765
1957 -0.13272 0.8461765
1958 -0.075413 0.9168647
1959 -0.14906 0.9125412
1960 -0.10859 0.8438235
1961 -0.20863 0.6377647
1962 -0.044048 0.5930176
1963 -0.27449 -0.1528941
1964 -0.45179 -0.7379294
1965 -0.35702 -0.03757647
1966 -0.27521 0.4713882
1967 -0.18983 0.7214765
1968 -0.20355 0.4950353
1969 -0.21494 0.3668294
1970 -0.22709 0.8068647
1971 -0.13763 0.9693706
1972 -0.15218 1.158247
1973 -0.097247 1.044306
1974 0.095772 0.8833412
1975 -0.088617 0.4946529
1976 0.016425 0.9257941
1977 -0.011683 1.221635
1978 -0.087684 1.285082
1979 0.095105 1.402418
1980 -0.0043603 1.574341
1981 0.15612 1.644088
1982 0.098907 0.5018529
1983 0.039747 0.002764706
1984 0.15545 1.037676
1985 0.15202 1.471465
1986 0.35563 1.562453
1987 0.35097 1.703094
1988 0.4239 1.924729
1989 0.49902 2.125876
1990 0.58693 2.179465
1991 0.55665 1.082547
1992 0.19553 -0.5370294
1993 0.31173 1.049112
1994 0.40746 1.678194
1995 0.37996 1.910606
1996 0.56305 1.996947
1997 0.62549 2.041271
1998 0.59022 2.217782
1999 0.63346 2.336794
2000 0.66437 2.397065
2001 0.68382 2.375488
2002 0.76317 2.354053
2003 0.67404 2.207782
2004 0.72696 2.221788
2005 0.72012 2.169859
2006 0.80787 2.160747
2007 0.9177 2.137894
2008 0.99531 2.221037
2009 0.95347 2.2651
2010 0.96549 2.345664
2011 0.97178 2.394515
2012 0.84925 2.492975
2013 0.91782 2.510564
2014 0.85482 2.55072
2015 0.92837 2.527756
