Year Temperature Forcing
1850 -0.99565 -0.0256
1851 -0.89002 0.05636
1852 -0.94937 0.07861818
1853 -0.7835 0.115975
1854 -0.61423 0.1523769
1855 -0.73592 0.08634286
1856 -0.57173 -0.70118
1857 -0.90958 -1.219937
1858 -0.91126 -0.4874059
1859 -0.65547 -0.007876471
1860 -0.68443 0.2477
1861 -0.73961 0.2507647
1862 -0.65365 -0.007664706
1863 -0.63954 0.03644118
1864 -0.532 0.1935706
1865 -0.7145 0.2228118
1866 -0.6623 0.2979353
1867 -0.53999 0.2556118
1868 -0.55516 0.3472706
1869 -0.50199 0.3793294
1870 -0.52106 0.4433235
1871 -0.46012 0.3991118
1872 -0.47432 0.4093235
1873 -0.42876 0.3106294
1874 -0.39393 0.3423824
1875 -0.49326 0.4235
1876 -0.4397 0.2699176
1877 -0.41684 0.2561706
1878 -0.40301 0.4067941
1879 -0.31309 0.5072353
1880 -0.32644 0.6008529
1881 -0.2633 0.7017294
1882 -0.437 0.5984941
1883 -0.3097 -0.4736529
1884 -0.68202 -2.573818
1885 -0.87973 -0.8581471
1886 -0.67788 -0.2069647
1887 -0.62103 -0.2237059
1888 -0.65417 0.1324176
1889 -0.4225 -0.03706471
1890 -0.41673 -0.2491294
1891 -0.75256 0.02859412
1892 -0.44081 0.1648706
1893 -0.47244 0.4911412
1894 -0.33019 0.6268059
1895 -0.36109 0.5027412
1896 -0.51068 -0.009458824
1897 -0.38291 0.02192353
1898 -0.37889 0.1046588
1899 -0.20931 0.3429824
1900 -0.18495 0.4149882
1901 -0.26567 0.3766
1902 -0.28212 -0.05447647
1903 -0.68837 -1.236429
1904 -0.62533 -0.2854353
1905 -0.55643 0.07551176
1906 -0.3892 0.2629
1907 -0.28436 0.1412706
1908 -0.3422 0.1167294
1909 -0.31392 0.2018294
1910 -0.3254 0.2612882
1911 -0.28435 0.2502353
1912 -0.22108 -0.02531765
1913 -0.36034 -0.1336176
1914 -0.34565 0.1489824
1915 -0.30758 0.2779294
1916 -0.19357 0.3363941
1917 -0.31456 0.3958
1918 -0.047565 0.3854588
1919 -0.29311 0.3369
1920 -0.13148 0.1476
1921 -0.096867 0.1104
1922 -0.21173 0.2342353
1923 -0.20056 0.2067118
1924 -0.22478 0.1689
1925 -0.29778 0.1870176
1926 -0.33964 0.2395353
1927 -0.25456 0.2394412
1928 -0.31285 0.1473412
1929 -0.39381 -0.03435882
1930 -0.29495 0.05497647
1931 -0.25442 0.1059765
1932 -0.16527 -0.02459412
1933 -0.25443 0.01849412
1934 -0.28124 0.1045765
1935 -0.14687 0.1249529
1936 -0.31581 0.2480471
1937 -0.34482 0.2211882
1938 -0.3604 0.2119176
1939 -0.16587 0.2338882
1940 -0.2268 0.2843765
1941 -0.26764 0.2922706
1942 -0.23384 0.2018706
1943 -0.27889 0.2174588
1944 -0.30156 0.2281941
1945 -0.16483 0.3129059
1946 -0.18355 0.3073941
1947 -0.22161 0.3969294
1948 -0.20273 0.4310765
1949 -0.11363 0.4071
1950 -0.285 0.3998
1951 -0.11189 0.3045529
1952 -0.066908 0.3350529
1953 -0.21904 0.3141706
1954 -0.25058 0.3509529
1955 -0.088565 0.3395235
1956 -0.10642 0.5042647
1957 -0.093188 0.6597235
1958 -0.13414 0.7274824
1959 -0.18358 0.7144882
1960 -0.16151 0.6402176
1961 -0.14356 0.5047941
1962 -0.036497 0.4946176
1963 -0.25672 -0.2476059
1964 -0.39888 -0.8562824
1965 -0.20948 -0.2173176
1966 -0.1536 0.3642353
1967 -0.16133 0.5888647
1968 -0.22034 0.402
1969 -0.068328 0.2455118
1970 -0.045124 0.7294824
1971 -0.086572 0.8796941
1972 0.0051458 1.018135
1973 -0.066795 0.8498941
1974 -0.073302 0.7213941
1975 0.013466 0.3314235
1976 -0.05042 0.7477824
1977 -0.018506 1.003112
1978 0.0066921 1.100971
1979 0.045559 1.105112
1980 0.21511 1.327176
1981 0.18962 1.402029
1982 -0.0014741 0.3103294
1983 -0.018941 -0.2493471
1984 0.0084221 0.8266588
1985 0.055707 1.2257
1986 0.15537 1.315476
1987 0.23703 1.462941
1988 0.23391 1.700547
1989 0.42965 1.917718
1990 0.41418 2.013929
1991 0.24488 0.9512471
1992 -0.040869 -0.5984235
1993 0.064218 1.022924
1994 0.16151 1.707029
1995 0.25416 1.916982
1996 0.51295 2.072735
1997 0.40476 2.144894
1998 0.63116 2.316429
1999 0.61893 2.469806
2000 0.54366 2.582994
2001 0.7453 2.599418
2002 0.86008 2.651312
2003 0.83863 2.575459
2004 0.83525 2.537541
2005 0.96425 2.567847
2006 0.87905 2.569782
2007 0.89844 2.553071
2008 0.88909 2.601513
2009 0.90163 2.59426
2010 0.8476 2.741786
2011 1.015 2.772223
2012 0.99604 2.902008
2013 0.94429 2.951855
2014 1.0105 2.94193
2015 1.0686 3.0295
