Year Temperature Forcing
1850 -0.59773 0.2185889
1851 -0.38552 0.22771
1852 -0.35323 0.2564818
1853 -0.45792 0.2119167
1854 -0.67515 0.2110769
1855 -0.49967 0.1712429
1856 -0.43702 -0.6654933
1857 -0.60326 -1.176194
1858 -0.56654 -0.4563412
1859 -0.45763 0.04381177
1860 -0.54554 0.2277412
1861 -0.50701 0.1989294
1862 -0.4812 -0.09702353
1863 -0.41964 0.01035294
1864 -0.38805 0.1618765
1865 -0.46711 0.1222
1866 -0.71478 0.1019294
1867 -0.57582 0.07904118
1868 -0.48843 0.1257882
1869 -0.32672 0.1338176
1870 -0.44233 0.1971706
1871 -0.3986 0.1822529
1872 -0.47747 0.1382294
1873 -0.42366 0.04358235
1874 -0.51074 0.07686471
1875 -0.35819 0.07753529
1876 -0.38162 -0.06571765
1877 -0.50535 -0.02866471
1878 -0.57758 0.08712353
1879 -0.48964 0.2247824
1880 -0.28257 0.3644353
1881 -0.33982 0.4198882
1882 -0.46744 0.3535059
1883 -0.52138 -0.6931176
1884 -0.91617 -2.854753
1885 -0.66245 -1.070976
1886 -0.78434 -0.4629412
1887 -0.86763 -0.4927412
1888 -0.6191 -0.1669765
1889 -0.57783 -0.2644118
1890 -0.53758 -0.4112765
1891 -0.48658 -0.1590647
1892 -0.7128 0.06314706
1893 -0.66243 0.3691529
1894 -0.45383 0.4960706
1895 -0.42091 0.4087529
1896 -0.5691 -0.07764706
1897 -0.50129 -0.1272588
1898 -0.38663 -0.05599412
1899 -0.45349 0.1423765
1900 -0.46733 0.2424588
1901 -0.28423 0.2938882
1902 -0.35432 -0.1220471
1903 -1.0377 -1.235794
1904 -1.0206 -0.2528235
1905 -0.72231 0.1536235
1906 -0.77344 0.3066118
1907 -0.73404 0.2158529
1908 -0.51272 0.2255
1909 -0.28914 0.3672824
1910 -0.43626 0.3700353
1911 -0.60192 0.4170294
1912 -0.57369 0.1114529
1913 -0.59926 0.01869412
1914 -0.47625 0.3701353
1915 -0.47959 0.5609588
1916 -0.33779 0.6517588
1917 -0.33087 0.6280647
1918 -0.45923 0.6188647
1919 -0.35307 0.5702235
1920 -0.26227 0.3675647
1921 -0.38735 0.4193941
1922 -0.30604 0.5469235
1923 -0.20504 0.5776059
1924 -0.10173 0.4819412
1925 -0.27875 0.5328882
1926 -0.26473 0.5739059
1927 -0.028397 0.6438941
1928 -0.18316 0.5295529
1929 -0.3993 0.3932706
1930 -0.16053 0.4572824
1931 -0.067255 0.4408941
1932 -0.31328 0.3402529
1933 -0.42815 0.3735059
1934 -0.29782 0.4978647
1935 -0.4617 0.5482176
1936 -0.24283 0.6602294
1937 -0.17565 0.6359
1938 -0.21322 0.5525235
1939 -0.1667 0.6197235
1940 -0.076623 0.6549588
1941 -0.13109 0.6610529
1942 -0.22392 0.5672176
1943 -0.18944 0.5106765
1944 -0.25093 0.5415235
1945 -0.2748 0.6009471
1946 -0.20837 0.6375588
1947 -0.097217 0.6877706
1948 -0.095508 0.7722059
1949 -0.30781 0.7281412
1950 -0.28399 0.7268059
1951 -0.11569 0.6959412
1952 -0.061506 0.6418176
1953 -0.096547 0.6448471
1954 -0.17978 0.6754471
1955 -0.16238 0.7037882
1956 -0.099588 0.7449294
1957 -0.045842 0.8382941
1958 -0.14722 0.9179412
1959 -0.070679 0.8964941
1960 -0.11001 0.8341294
1961 -0.22299 0.6783353
1962 -0.25233 0.6185059
1963 -0.37777 -0.1240824
1964 -0.35299 -0.6544824
1965 -0.29294 0.04555882
1966 -0.28386 0.5581412
1967 -0.30987 0.8081176
1968 -0.14022 0.6146882
1969 0.093931 0.4973941
1970 -0.0010561 0.9219412
1971 -0.24067 1.129929
1972 -0.08599 1.325706
1973 -0.11853 1.289112
1974 -0.04061 1.148094
1975 0.057619 0.7302176
1976 0.20917 1.178388
1977 0.10201 1.500953
1978 0.043533 1.579312
1979 0.10637 1.652412
1980 0.22202 1.812224
1981 0.28859 1.836976
1982 0.16499 0.6963059
1983 0.024233 0.1561
1984 0.029424 1.201794
1985 0.088285 1.611082
1986 0.27114 1.659424
1987 0.29624 1.825241
1988 0.15135 2.034341
1989 0.19129 2.209535
1990 0.37962 2.225494
1991 0.39328 1.182071
1992 0.1918 -0.3939176
1993 0.36016 1.192224
1994 0.15724 1.817376
1995 0.12241 2.103541
1996 0.16968 2.194865
1997 0.38065 2.333082
1998 0.58936 2.513406
1999 0.54094 2.621124
2000 0.63241 2.776206
2001 0.8128 2.772071
2002 0.81841 2.768412
2003 0.60367 2.717035
2004 0.6812 2.754953
2005 0.77039 2.714159
2006 0.80096 2.659788
2007 0.78852 2.6004
2008 0.78304 2.656006
2009 0.82466 2.69806
2010 0.90225 2.807543
2011 0.74967 2.857915
2012 0.71957 2.9021
2013 0.74759 2.967936
2014 1.0033 2.88476
2015 1.0044 2.921078
