Year Temperature Forcing
1861 -0.30836 0.10215
1862 -0.42898 -0.1823182
1863 -0.60583 -0.09858333
1864 -0.28424 -0.03554615
1865 -0.31833 -0.01624286
1866 -0.14789 0.01944667
1867 -0.12242 -0.00598125
1868 -0.28808 0.01461765
1869 -0.27477 0.05074118
1870 -0.29008 0.1369941
1871 -0.29292 0.06357647
1872 -0.18827 0.01308235
1873 -0.028642 -0.04905882
1874 0.024508 -0.06827647
1875 -0.21152 -0.09287059
1876 -0.22447 -0.1923882
1877 -0.12688 -0.1584941
1878 -0.058866 -0.1369
1879 -0.037817 -0.09272941
1880 -0.15942 -0.01011176
1881 -0.15686 0.06655294
1882 -0.047943 0.1197471
1883 -0.0080301 -0.9839647
1884 -0.33535 -3.106229
1885 -0.43679 -1.294329
1886 -0.30902 -0.6905941
1887 -0.45709 -0.7327353
1888 -0.34445 -0.3634765
1889 -0.44251 -0.4989647
1890 -0.54676 -0.7864412
1891 -0.43744 -0.526
1892 -0.49189 -0.3299059
1893 -0.23555 0.0171
1894 -0.2441 0.2172882
1895 -0.14698 0.2578824
1896 -0.25748 -0.09618823
1897 -0.25584 -0.1433059
1898 -0.39311 -0.06017647
1899 -0.19855 0.09680588
1900 -0.053955 0.2205412
1901 -0.035195 0.2302176
1902 -0.19492 -0.1780353
1903 -0.28497 -1.314541
1904 -0.32032 -0.4279294
1905 -0.11237 -0.05552353
1906 -0.10529 0.1672
1907 -0.11921 0.1309235
1908 -0.12675 0.1343353
1909 -0.27819 0.2498353
1910 -0.12813 0.1934176
1911 0.083791 0.1880765
1912 0.036298 -0.2364647
1913 -0.15127 -0.4028235
1914 -0.16017 0.01525294
1915 -0.024076 0.2329118
1916 -0.0033458 0.2669059
1917 0.16613 0.3120353
1918 0.13515 0.3366765
1919 0.011549 0.2510647
1920 -0.078897 0.05970588
1921 -0.17375 0.1481235
1922 0.021162 0.2987
1923 -0.071128 0.3071882
1924 0.018526 0.2308941
1925 0.10596 0.2613
1926 0.089531 0.3209706
1927 0.030753 0.4162412
1928 -0.14909 0.3620529
1929 -0.27396 0.2843824
1930 -0.13742 0.3682412
1931 -0.047421 0.3251118
1932 -0.14297 0.2417235
1933 -0.095875 0.2579882
1934 -0.018979 0.2973059
1935 -0.15655 0.2650412
1936 0.08516 0.3830588
1937 0.19082 0.3675765
1938 0.036761 0.3119706
1939 0.14491 0.3228647
1940 0.17441 0.3047882
1941 0.25629 0.3380059
1942 0.15219 0.2412176
1943 0.096871 0.1122882
1944 0.056233 0.1391
1945 0.17481 0.1453059
1946 0.25351 0.1380882
1947 0.28869 0.1219059
1948 0.048237 0.1886176
1949 0.054785 0.1273235
1950 -0.037418 0.1173176
1951 0.0065847 0.03038235
1952 0.082931 0.06331765
1953 0.15161 0.05422353
1954 -0.080621 0.05275294
1955 0.18153 0.1200235
1956 0.065432 0.1941235
1957 -0.008565 0.2964176
1958 -0.0028065 0.3226941
1959 -0.12774 0.2708588
1960 -0.049187 0.2748235
1961 -0.23096 0.1033176
1962 -0.18988 0.02879412
1963 -0.18112 -0.6968
1964 -0.33783 -1.228571
1965 -0.33361 -0.5581412
1966 -0.29981 -0.06451176
1967 -0.054037 0.1930824
1968 -0.13822 -0.0329
1969 -0.15882 -0.2082
1970 -0.13144 0.1996412
1971 -0.090909 0.4017176
1972 0.12851 0.5511
1973 0.13643 0.4550765
1974 0.05942 0.3845824
1975 -0.074018 0.05433529
1976 0.11926 0.5176
1977 0.25456 0.7528941
1978 0.089464 0.8040529
1979 0.046487 0.8097353
1980 0.046842 0.9474765
1981 0.17793 0.9877647
1982 0.12862 -0.1707235
1983 -0.11623 -0.6641647
1984 -0.063933 0.3410059
1985 0.095398 0.7713294
1986 0.051286 0.8987706
1987 0.186 1.084818
1988 0.23043 1.2625
1989 0.25978 1.418118
1990 0.3904 1.4059
1991 0.55042 0.3353412
1992 0.21442 -1.241594
1993 -0.16349 0.4067353
1994 -0.013217 1.110282
1995 0.19742 1.388335
1996 0.23163 1.542847
1997 0.31999 1.649353
1998 0.41831 1.852312
1999 0.21645 1.981318
2000 0.26719 2.079641
2001 0.38845 2.080535
2002 0.38574 2.129447
2003 0.38166 1.9895
2004 0.3157 2.020541
2005 0.52287 1.989418
2006 0.54649 2.001565
2007 0.56729 2.017741
2008 0.69587 2.076344
2009 0.65612 2.06764
2010 0.50699 2.116364
2011 0.69878 2.135115
2012 0.83415 2.218025
2013 0.64981 2.278464
2014 0.59113 2.24526
2015 0.6312 2.255711
