Year Temperature Forcing
1850 -0.29416 0.1151111
1851 -0.29313 0.16887
1852 -0.30401 0.1932
1853 -0.30689 0.189275
1854 -0.32171 0.1637615
1855 -0.24973 0.1130857
1856 -0.40543 -0.7376067
1857 -0.59133 -1.219925
1858 -0.48863 -0.4473588
1859 -0.34208 0.01683529
1860 -0.32255 0.1523529
1861 -0.32166 0.1742118
1862 -0.32892 -0.07931177
1863 -0.32326 0.006394118
1864 -0.32441 0.1466353
1865 -0.27176 0.2153235
1866 -0.26257 0.2389706
1867 -0.1943 0.2189412
1868 -0.40236 0.2402353
1869 -0.21209 0.2581
1870 -0.17337 0.3145294
1871 -0.32433 0.3064941
1872 -0.30609 0.2967529
1873 -0.20486 0.2372412
1874 -0.24396 0.2548941
1875 -0.3105 0.2386294
1876 -0.33671 0.1265588
1877 -0.27335 0.1825294
1878 -0.38013 0.2407176
1879 -0.35528 0.2873647
1880 -0.34751 0.3578059
1881 -0.33206 0.4158353
1882 -0.31257 0.3799941
1883 -0.34371 -0.6596412
1884 -0.65865 -2.809206
1885 -0.67759 -0.9899
1886 -0.5266 -0.3764529
1887 -0.48732 -0.4032412
1888 -0.36263 -0.04808824
1889 -0.38677 -0.2013235
1890 -0.42582 -0.4557294
1891 -0.47186 -0.2050765
1892 -0.44252 0.007994118
1893 -0.29902 0.3229882
1894 -0.26908 0.4607118
1895 -0.21774 0.4840353
1896 -0.33834 0.05949412
1897 -0.26078 0.03341765
1898 -0.28323 0.1170176
1899 -0.30691 0.3117
1900 -0.30578 0.3925941
1901 -0.17458 0.4079824
1902 -0.2509 -0.04308235
1903 -0.49099 -1.176324
1904 -0.41634 -0.2088529
1905 -0.39202 0.1987294
1906 -0.39694 0.3654059
1907 -0.3123 0.3167118
1908 -0.28879 0.3265176
1909 -0.28293 0.4419706
1910 -0.22658 0.4376529
1911 -0.20039 0.4584824
1912 -0.28238 0.04663529
1913 -0.30642 -0.07682353
1914 -0.31816 0.2858882
1915 -0.30432 0.4790294
1916 -0.27227 0.5304706
1917 -0.26956 0.5605765
1918 -0.22343 0.5772294
1919 -0.16922 0.5472118
1920 -0.21192 0.3554118
1921 -0.23535 0.3873176
1922 -0.34014 0.5133118
1923 -0.24064 0.5650647
1924 -0.23702 0.5374706
1925 -0.13868 0.5750235
1926 -0.2354 0.6173706
1927 -0.18832 0.6985529
1928 -0.10901 0.6072824
1929 -0.19409 0.5223647
1930 -0.1068 0.6379706
1931 -0.16278 0.6629941
1932 -0.18051 0.5791706
1933 -0.16381 0.6169529
1934 -0.067477 0.6983118
1935 -0.061241 0.7350765
1936 -0.1917 0.8322882
1937 -0.044746 0.8388118
1938 -0.069667 0.7992706
1939 -0.20331 0.8083941
1940 -0.1859 0.8042412
1941 -0.14385 0.8184529
1942 -0.13693 0.7471529
1943 -0.2154 0.7103529
1944 -0.21979 0.7578882
1945 -0.13402 0.7920176
1946 -0.16957 0.7938
1947 -0.19589 0.8194353
1948 -0.063208 0.8646412
1949 -0.030778 0.8074118
1950 -0.16389 0.7938353
1951 -0.11756 0.7669294
1952 -0.094629 0.7181235
1953 -0.054067 0.7120412
1954 0.0037872 0.7007706
1955 -0.0064688 0.7740471
1956 -0.088897 0.8816
1957 -0.082837 1.013288
1958 -0.082715 1.0338
1959 -0.046509 1.008288
1960 -0.055397 0.9146235
1961 -0.094194 0.7346176
1962 -0.072614 0.6731647
1963 -0.13454 -0.0676
1964 -0.25964 -0.6254647
1965 -0.229 0.06044706
1966 -0.14291 0.5906529
1967 -0.13535 0.8328294
1968 -0.11497 0.5757647
1969 -0.10606 0.4725765
1970 -0.11827 0.9021059
1971 -0.024788 1.126165
1972 -0.091823 1.240412
1973 0.081108 1.159235
1974 0.087465 1.034094
1975 0.079783 0.6352235
1976 0.13756 1.044112
1977 0.11491 1.311188
1978 0.037691 1.338524
1979 0.11188 1.402776
1980 0.17012 1.552218
1981 0.18164 1.567
1982 0.042948 0.4081412
1983 -0.14813 -0.09008235
1984 -0.024922 0.9162765
1985 0.02765 1.334271
1986 0.032504 1.363171
1987 0.076691 1.508465
1988 0.15652 1.689876
1989 0.15089 1.845041
1990 0.20785 1.836341
1991 0.061945 0.7721882
1992 -0.17697 -0.7718412
1993 -0.04553 0.8429353
1994 -0.011881 1.513606
1995 0.16224 1.799712
1996 0.1422 1.923159
1997 0.16286 1.9949
1998 0.33271 2.189894
1999 0.36124 2.332182
2000 0.34231 2.403324
2001 0.46351 2.419094
2002 0.41249 2.4637
2003 0.46348 2.403224
2004 0.50361 2.434824
2005 0.47394 2.418312
2006 0.53041 2.451747
2007 0.5345 2.466165
2008 0.47789 2.518044
2009 0.46526 2.526033
2010 0.50418 2.623386
2011 0.59108 2.688969
2012 0.56531 2.7804
2013 0.6308 2.815918
2014 0.69364 2.85555
2015 0.66683 2.909833
