Year Temperature
1850 -0.374
1851 -0.221
1852 -0.224
1853 -0.269
1854 -0.251
1855 -0.273
1856 -0.353
1857 -0.46
1858 -0.466
1859 -0.287
1860 -0.349
1861 -0.413
1862 -0.526
1863 -0.281
1864 -0.494
1865 -0.274
1866 -0.249
1867 -0.322
1868 -0.234
1869 -0.267
1870 -0.278
1871 -0.334
1872 -0.23
1873 -0.304
1874 -0.375
1875 -0.397
1876 -0.382
1877 -0.076
1878 0.036
1879 -0.232
1880 -0.229
1881 -0.207
1882 -0.214
1883 -0.298
1884 -0.411
1885 -0.39
1886 -0.368
1887 -0.422
1888 -0.312
1889 -0.173
1890 -0.417
1891 -0.335
1892 -0.456
1893 -0.473
1894 -0.405
1895 -0.39
1896 -0.184
1897 -0.208
1898 -0.413
1899 -0.289
1900 -0.198
1901 -0.261
1902 -0.404
1903 -0.482
1904 -0.519
1905 -0.377
1906 -0.284
1907 -0.466
1908 -0.511
1909 -0.523
1910 -0.491
1911 -0.543
1912 -0.437
1913 -0.425
1914 -0.245
1915 -0.147
1916 -0.382
1917 -0.463
1918 -0.331
1919 -0.272
1920 -0.241
1921 -0.187
1922 -0.301
1923 -0.272
1924 -0.292
1925 -0.214
1926 -0.105
1927 -0.208
1928 -0.206
1929 -0.348
1930 -0.134
1931 -0.083
1932 -0.134
1933 -0.267
1934 -0.127
1935 -0.172
1936 -0.14
1937 -0.022
1938 -0.003
1939 -0.047
1940 0.018
1941 0.02
1942 -0.024
1943 0
1944 0.149
1945 0.027
1946 -0.072
1947 -0.038
1948 -0.037
1949 -0.072
1950 -0.172
1951 -0.051
1952 0.031
1953 0.097
1954 -0.129
1955 -0.19
1956 -0.266
1957 -0.004
1958 0.046
1959 0.017
1960 -0.049
1961 0.04
1962 0.016
1963 0.049
1964 -0.223
1965 -0.14
1966 -0.069
1967 -0.074
1968 -0.112
1969 0.031
1970 -0.027
1971 -0.187
1972 -0.067
1973 0.062
1974 -0.213
1975 -0.147
1976 -0.24
1977 0.046
1978 -0.063
1979 0.058
1980 0.093
1981 0.14
1982 0.011
1983 0.193
1984 -0.013
1985 -0.03
1986 0.046
1987 0.191
1988 0.199
1989 0.118
1990 0.296
1991 0.254
1992 0.103
1993 0.145
1994 0.206
1995 0.321
1996 0.18
1997 0.389
1998 0.536
1999 0.306
2000 0.293
2001 0.439
2002 0.497
2003 0.508
2004 0.448
2005 0.544
2006 0.505
2007 0.492
2008 0.394
2009 0.506
2010 0.556
2011 0.421
2012 0.469
2013 0.512
2014 0.575
2015 0.76
