Year Temperature Forcing
1860 0.029542 0.0568
1861 0.14298 0.06647
1862 -0.069238 -0.1845364
1863 -0.080099 -0.09596667
1864 -0.18275 0.0321
1865 -0.18605 0.09647143
1866 -0.18443 0.10492
1867 -0.1177 0.1050875
1868 0.034322 0.1285471
1869 0.071449 0.1453059
1870 -0.085412 0.1723
1871 -0.0055114 0.1498235
1872 0.063635 0.1124824
1873 -0.02759 0.05698823
1874 -0.068997 0.07382941
1875 0.0068352 0.1034176
1876 0.12074 0.06111176
1877 0.18895 0.1311471
1878 0.022782 0.1828059
1879 -0.17484 0.2366765
1880 -0.1754 0.2992529
1881 0.0038754 0.345
1882 0.20273 0.3046235
1883 0.081495 -0.7280882
1884 -0.21487 -2.883029
1885 -0.13979 -1.075335
1886 -0.16177 -0.4614765
1887 -0.34244 -0.4482882
1888 -0.14064 -0.08910588
1889 -0.059435 -0.2549588
1890 0.025874 -0.4820353
1891 0.017253 -0.2299
1892 -0.1496 -0.06758235
1893 -0.31936 0.1655294
1894 -0.30062 0.2782824
1895 -0.17248 0.3141176
1896 0.06244 -0.1058294
1897 -0.029104 -0.09575294
1898 -0.14297 0.003758824
1899 -0.039276 0.1708824
1900 -0.07833 0.2122294
1901 0.023875 0.2188176
1902 0.0042256 -0.2022
1903 -0.08765 -1.3634
1904 -0.085052 -0.4003294
1905 0.066629 0.0225
1906 0.050178 0.2075235
1907 0.00083494 0.1346412
1908 -0.061612 0.1211
1909 -0.20601 0.2478588
1910 -0.12033 0.2437294
1911 -0.14246 0.2697588
1912 -0.31454 -0.1430824
1913 -0.11998 -0.2703706
1914 0.0056309 0.03726471
1915 -0.02678 0.2164706
1916 0.072039 0.2791941
1917 0.19032 0.3263471
1918 0.19658 0.3207765
1919 0.1838 0.2648353
1920 0.1295 0.0772
1921 0.078553 0.08208235
1922 -0.023577 0.1371412
1923 0.0027093 0.157
1924 0.18494 0.1116471
1925 0.048619 0.1677353
1926 0.0065613 0.1767235
1927 -0.0018341 0.2349471
1928 0.033158 0.1129294
1929 0.010921 -0.002511765
1930 0.018609 0.09142353
1931 0.042143 0.09357647
1932 -0.005165 -0.02952353
1933 -0.10803 0.01408235
1934 -0.056458 0.08115882
1935 0.11037 0.1213588
1936 0.10488 0.2223882
1937 0.23341 0.2007588
1938 0.27615 0.1386059
1939 0.18877 0.1596059
1940 0.06313 0.1937941
1941 0.057399 0.1948706
1942 0.2652 0.09011765
1943 0.30269 0.07148235
1944 0.39008 0.1202882
1945 0.35964 0.1494235
1946 0.13119 0.1343647
1947 0.23017 0.1500765
1948 0.21119 0.1961588
1949 0.23085 0.1457059
1950 0.23203 0.07652353
1951 0.18532 0.02985294
1952 0.23858 -0.01357059
1953 0.24486 -0.04180588
1954 0.048197 -0.03441765
1955 -0.033257 0.03401765
1956 0.027149 0.1425471
1957 -0.034394 0.2420647
1958 -0.11716 0.2317
1959 -0.13243 0.2370588
1960 -0.082338 0.1511529
1961 -0.18311 -0.05146471
1962 -0.12404 -0.1311941
1963 -0.06834 -0.8771059
1964 -0.25117 -1.475553
1965 -0.20701 -0.7966118
1966 -0.27606 -0.2822353
1967 -0.088148 -0.007094118
1968 0.010124 -0.2482588
1969 -0.0077634 -0.3890412
1970 -0.080292 0.02630588
1971 -0.059064 0.2268059
1972 0.079166 0.2883235
1973 0.14156 0.1711235
1974 0.061635 0.05450588
1975 0.041376 -0.2727412
1976 0.076229 0.09044706
1977 0.070716 0.3431882
1978 0.064358 0.3822294
1979 0.061169 0.4444118
1980 -0.014365 0.5706706
1981 -0.064312 0.5893412
1982 -0.17391 -0.5770882
1983 -0.27028 -1.074424
1984 0.045284 -0.0359
1985 0.1849 0.3672412
1986 0.20453 0.4104353
1987 0.20934 0.5247706
1988 0.21636 0.6787529
1989 0.22279 0.8452529
1990 0.17833 0.8641059
1991 0.13565 -0.2490765
1992 0.068167 -1.883935
1993 0.088008 -0.3003647
1994 0.25271 0.3487353
1995 0.40161 0.5737118
1996 0.32297 0.6508235
1997 0.31996 0.7224647
1998 0.425 0.9034176
1999 0.40351 1.020059
2000 0.48304 1.0609
2001 0.54007 1.021347
2002 0.72152 1.049376
2003 0.57156 0.9469294
2004 0.483 0.9834765
2005 0.5182 0.9672765
2006 0.65329 0.9747765
2007 0.7859 0.9858294
2008 0.876 1.038925
2009 0.90758 1.050247
2010 1.0548 1.149729
2011 1.1292 1.187646
2012 0.89507 1.312633
2013 0.8566 1.387073
2014 1.0585 1.42639
2015 1.1978 1.4703
