Year Forcing
1850 0
1851 -0.002
1852 -0.004
1853 -0.004
1854 -0.005
1855 -0.001
1856 0.004
1857 0.009
1858 0.014
1859 0.018
1860 0.024
1861 0.028
1862 0.03
1863 0.032
1864 0.034
1865 0.036
1866 0.038
1867 0.04
1868 0.042
1869 0.044
1870 0.048
1871 0.052
1872 0.054
1873 0.058
1874 0.062
1875 0.066
1876 0.068
1877 0.072
1878 0.084
1879 0.095
1880 0.109
1881 0.121
1882 0.133
1883 0.142
1884 0.15
1885 0.158
1886 0.167
1887 0.171
1888 0.174
1889 0.175
1890 0.179
1891 0.183
1892 0.185
1893 0.185
1894 0.185
1895 0.186
1896 0.188
1897 0.188
1898 0.188
1899 0.196
1900 0.204
1901 0.213
1902 0.221
1903 0.229
1904 0.238
1905 0.247
1906 0.254
1907 0.263
1908 0.272
1909 0.28
1910 0.287
1911 0.297
1912 0.305
1913 0.309
1914 0.312
1915 0.316
1916 0.322
1917 0.329
1918 0.337
1919 0.342
1920 0.348
1921 0.354
1922 0.362
1923 0.369
1924 0.376
1925 0.384
1926 0.393
1927 0.401
1928 0.408
1929 0.418
1930 0.425
1931 0.433
1932 0.44
1933 0.449
1934 0.457
1935 0.465
1936 0.473
1937 0.481
1938 0.488
1939 0.494
1940 0.494
1941 0.489
1942 0.484
1943 0.48
1944 0.475
1945 0.475
1946 0.476
1947 0.479
1948 0.479
1949 0.486
1950 0.495
1951 0.503
1952 0.511
1953 0.518
1954 0.528
1955 0.538
1956 0.548
1957 0.558
1958 0.567
1959 0.582
1960 0.599
1961 0.61
1962 0.623
1963 0.634
1964 0.645
1965 0.655
1966 0.679
1967 0.692
1968 0.705
1969 0.725
1970 0.748
1971 0.764
1972 0.782
1973 0.816
1974 0.83
1975 0.849
1976 0.859
1977 0.89
1978 0.919
1979 0.947
1980 0.976
1981 0.996
1982 1.009
1983 1.037
1984 1.063
1985 1.088
1986 1.111
1987 1.14
1988 1.181
1989 1.208
1990 1.227
1991 1.249
1992 1.26
1993 1.272
1994 1.296
1995 1.325
1996 1.353
1997 1.371
1998 1.413
1999 1.446
2000 1.464
2001 1.489
2002 1.52
2003 1.56
2004 1.588
2005 1.619
2006 1.651
2007 1.678
2008 1.709
2009 1.732
2010 1.766
2011 1.794
2012 1.824
2013 1.865
2014 1.893
2015 1.927
