Year Temperature Forcing
1850 -0.30951 0.1338778
1851 -0.42625 0.16526
1852 -0.40267 0.1922091
1853 -0.39225 0.2039917
1854 -0.40205 0.1886769
1855 -0.43148 0.1377429
1856 -0.55189 -0.70412
1857 -0.70027 -1.194356
1858 -0.80083 -0.4508412
1859 -0.72596 -0.008935294
1860 -0.55669 0.1539882
1861 -0.45372 0.1722176
1862 -0.51058 -0.06572353
1863 -0.53127 0.000782353
1864 -0.37654 0.1462647
1865 -0.26137 0.1972118
1866 -0.3803 0.1944118
1867 -0.57229 0.1634588
1868 -0.57993 0.1868412
1869 -0.43836 0.2245588
1870 -0.46423 0.2591882
1871 -0.41066 0.2341294
1872 -0.48556 0.2189824
1873 -0.34966 0.1557824
1874 -0.30772 0.1904588
1875 -0.23085 0.2008353
1876 -0.40782 0.1009
1877 -0.36225 0.1573941
1878 -0.38366 0.2307588
1879 -0.54994 0.2858235
1880 -0.4129 0.3596
1881 -0.21261 0.4005059
1882 -0.39338 0.4027529
1883 -0.53306 -0.6419824
1884 -0.87455 -2.772741
1885 -0.77402 -0.9545235
1886 -0.65563 -0.3727824
1887 -0.68002 -0.3915235
1888 -0.59302 -0.01695294
1889 -0.74012 -0.1886588
1890 -0.68721 -0.4363588
1891 -0.64089 -0.1884882
1892 -0.53471 -0.001635294
1893 -0.62656 0.2810118
1894 -0.66205 0.3886059
1895 -0.61579 0.4207882
1896 -0.63309 0.007782353
1897 -0.66776 0.03594118
1898 -0.68279 0.1418706
1899 -0.68956 0.2724765
1900 -0.5961 0.3500118
1901 -0.55976 0.3528529
1902 -0.36321 -0.08252941
1903 -0.50462 -1.227865
1904 -0.45261 -0.2805588
1905 -0.35326 0.1279882
1906 -0.40023 0.3181647
1907 -0.37721 0.2724353
1908 -0.40672 0.2582882
1909 -0.42632 0.3881118
1910 -0.43661 0.3961529
1911 -0.31446 0.4369765
1912 -0.43482 0.03488235
1913 -0.44216 -0.09059412
1914 -0.39659 0.2302706
1915 -0.3812 0.4028529
1916 -0.4969 0.4834294
1917 -0.3682 0.5023118
1918 -0.27967 0.5141882
1919 -0.38158 0.4589059
1920 -0.41228 0.2880765
1921 -0.35263 0.3519353
1922 -0.21433 0.4518706
1923 -0.26945 0.4837824
1924 -0.29658 0.4273
1925 -0.19713 0.4773471
1926 -0.021741 0.4930471
1927 -0.046193 0.5664647
1928 -0.081628 0.4622706
1929 -0.089566 0.3305647
1930 -0.17213 0.4173176
1931 -0.1086 0.4251
1932 -0.018868 0.3537588
1933 -0.32024 0.3852647
1934 -0.42845 0.4746647
1935 -0.54061 0.5015235
1936 -0.18572 0.6018529
1937 -0.10965 0.5992471
1938 -0.18045 0.5237353
1939 -0.26706 0.5284588
1940 -0.18628 0.5430882
1941 -0.13043 0.5710529
1942 -0.083484 0.4999647
1943 -0.044029 0.4849882
1944 -0.10273 0.5396588
1945 -0.15805 0.5933471
1946 -0.10353 0.5760176
1947 -0.084401 0.5946471
1948 -0.095382 0.6627118
1949 0.15837 0.5967882
1950 0.1189 0.5703471
1951 0.078601 0.5462
1952 -0.14156 0.5171
1953 0.027047 0.5203059
1954 -0.047065 0.4935235
1955 -0.165 0.5860529
1956 -0.079225 0.6647588
1957 -0.1128 0.7896765
1958 -0.25914 0.7875765
1959 -0.078953 0.7688059
1960 0.21934 0.6746471
1961 0.17823 0.4976706
1962 -0.081435 0.4117294
1963 -0.18777 -0.3175765
1964 -0.37389 -0.8716059
1965 -0.46421 -0.1845647
1966 -0.30972 0.3371588
1967 -0.09041 0.6159529
1968 -0.19784 0.3541824
1969 -0.18442 0.2317882
1970 -0.055288 0.6634588
1971 -0.067375 0.9021529
1972 -0.077876 0.9867412
1973 0.0042184 0.9415471
1974 0.029773 0.8248235
1975 -0.046611 0.4773647
1976 0.044686 0.8643588
1977 0.068052 1.157971
1978 -0.038056 1.202135
1979 -0.08384 1.283171
1980 -0.075244 1.446735
1981 0.081632 1.478371
1982 0.13476 0.3263176
1983 0.037063 -0.1506882
1984 0.089025 0.8729765
1985 -0.045263 1.316906
1986 0.15245 1.337512
1987 0.29349 1.491488
1988 0.3325 1.662988
1989 0.44265 1.858618
1990 0.49072 1.850353
1991 0.25022 0.7719294
1992 0.19348 -0.8409235
1993 0.43031 0.7673471
1994 0.37887 1.4257
1995 0.25899 1.677088
1996 0.39494 1.760888
1997 0.60247 1.813247
1998 0.7423 1.978847
1999 0.74486 2.086424
2000 0.80057 2.145159
2001 0.79992 2.107924
2002 0.79572 2.0959
2003 0.75627 2.0192
2004 0.77664 2.023388
2005 0.87113 1.980359
2006 0.72156 1.942035
2007 0.74372 1.946682
2008 0.95505 1.9797
2009 1.0494 1.99706
2010 1.0904 2.08595
2011 0.95131 2.115231
2012 0.92949 2.19535
2013 0.92056 2.241682
2014 0.77862 2.27307
2015 1.0837 2.330311
