Year Temperature Forcing
1850 -0.46708 -0.006277778
1851 -0.37137 0.06645
1852 -0.48299 0.1576545
1853 -0.41224 0.1348
1854 -0.37081 0.1221231
1855 -0.35462 0.05304286
1856 -0.55654 -0.7927267
1857 -0.51521 -1.278088
1858 -0.55091 -0.5116706
1859 -0.49327 -0.004458824
1860 -0.45297 0.1615176
1861 -0.53013 0.2256059
1862 -0.41093 -0.06418235
1863 -0.51738 -0.007952941
1864 -0.63055 0.1085059
1865 -0.43483 0.1810824
1866 -0.48206 0.2201353
1867 -0.4042 0.1812176
1868 -0.38752 0.1908882
1869 -0.14112 0.1484941
1870 -0.28662 0.2337882
1871 -0.37589 0.2125059
1872 -0.35691 0.1693588
1873 -0.29866 0.09548824
1874 -0.27469 0.09661765
1875 -0.34312 0.07935882
1876 -0.40487 -0.04131177
1877 -0.46339 0.02016471
1878 -0.4671 0.06301765
1879 -0.20446 0.1121294
1880 -0.44131 0.2315706
1881 -0.49205 0.3135
1882 -0.45381 0.2747706
1883 -0.48804 -0.8002471
1884 -0.74861 -2.909371
1885 -0.69625 -1.106606
1886 -0.6703 -0.4617706
1887 -0.44121 -0.5544647
1888 -0.46383 -0.1990882
1889 -0.43811 -0.3536412
1890 -0.39028 -0.5669
1891 -0.52201 -0.3110941
1892 -0.61993 -0.1217412
1893 -0.52353 0.1570941
1894 -0.4507 0.2854294
1895 -0.40552 0.2940529
1896 -0.38463 -0.1103529
1897 -0.47499 -0.1308471
1898 -0.42057 -0.08168823
1899 -0.25712 0.04954118
1900 -0.33692 0.1023706
1901 -0.30166 0.09840588
1902 -0.36512 -0.3317588
1903 -0.50633 -1.510535
1904 -0.56532 -0.5055176
1905 -0.50283 -0.1610529
1906 -0.48095 0.06517647
1907 -0.47237 -0.04157059
1908 -0.52807 -0.05636471
1909 -0.40894 0.04087647
1910 -0.40613 0.09121765
1911 -0.38884 0.1055176
1912 -0.34154 -0.3316059
1913 -0.57763 -0.4888647
1914 -0.49704 -0.1353294
1915 -0.44885 0.1264353
1916 -0.36774 0.2097941
1917 -0.44464 0.2333647
1918 -0.45407 0.2801176
1919 -0.2977 0.2152
1920 -0.36616 0.01679412
1921 -0.31249 0.03108823
1922 -0.19073 0.2417882
1923 0.0066983 0.2397706
1924 -0.021269 0.2356706
1925 -0.15173 0.2751412
1926 -0.071638 0.3267765
1927 -0.050203 0.3177647
1928 -0.087361 0.2219529
1929 -0.18243 0.1281471
1930 -0.16612 0.2426824
1931 -0.13255 0.2400824
1932 -0.28117 0.1000824
1933 -0.24932 0.1542235
1934 -0.3371 0.2573647
1935 -0.24046 0.2708588
1936 -0.11173 0.3841471
1937 0.040215 0.4099
1938 -0.090488 0.3937471
1939 -0.176 0.3677294
1940 -0.076416 0.4155529
1941 -0.13159 0.4254824
1942 -0.19766 0.3608353
1943 -0.0035813 0.3566412
1944 0.035081 0.4439471
1945 -0.030733 0.4083941
1946 0.022158 0.4424353
1947 -0.0096759 0.5011647
1948 0.090211 0.5161176
1949 0.058557 0.4534765
1950 0.24947 0.4317941
1951 0.1301 0.3578059
1952 0.028751 0.2950941
1953 -0.048107 0.3085353
1954 -0.032639 0.2708529
1955 -0.035359 0.3103412
1956 -0.090319 0.4300824
1957 -0.09358 0.5199412
1958 0.084125 0.5310294
1959 -0.0044739 0.5099882
1960 -0.023929 0.3996353
1961 0.10351 0.1528647
1962 0.11638 0.1301353
1963 0.049006 -0.6661353
1964 -0.26473 -1.280218
1965 -0.38668 -0.5619412
1966 -0.23377 -0.0271
1967 -0.061706 0.1892353
1968 -0.22908 -0.007811765
1969 -0.2364 -0.1464647
1970 -0.2032 0.2732529
1971 -0.2145 0.5096706
1972 -0.19007 0.6202353
1973 -0.22016 0.4937706
1974 -0.054973 0.3514941
1975 -0.11679 -0.01359412
1976 0.0085541 0.4031235
1977 0.17854 0.6865882
1978 0.22058 0.7679471
1979 0.1397 0.8300118
1980 0.066781 0.9980412
1981 0.12115 1.044241
1982 0.019515 -0.1014118
1983 -0.048397 -0.5791588
1984 0.010122 0.4507118
1985 0.071773 0.8676176
1986 0.18247 0.9125059
1987 0.21808 1.059065
1988 0.25985 1.249918
1989 0.25583 1.407124
1990 0.43864 1.428771
1991 0.30494 0.3433176
1992 -0.0051715 -1.275194
1993 0.054578 0.2986824
1994 0.17709 0.8905824
1995 0.21893 1.113312
1996 0.36347 1.173724
1997 0.48392 1.232959
1998 0.40429 1.407318
1999 0.44393 1.531441
2000 0.55296 1.576112
2001 0.67944 1.520576
2002 0.53921 1.503229
2003 0.45595 1.439782
2004 0.31615 1.415559
2005 0.4057 1.362812
2006 0.44885 1.332559
2007 0.65403 1.341918
2008 0.72319 1.403044
2009 0.5829 1.406247
2010 0.49146 1.499029
2011 0.53719 1.595385
2012 0.72964 1.720558
2013 0.67636 1.794655
2014 0.58313 1.85012
2015 0.81949 1.900344
