Year Temperature Forcing
1850 -0.61532 0.08752222
1851 -0.48932 0.11309
1852 -0.43055 0.1403909
1853 -0.32598 0.1286833
1854 -0.20666 0.1304462
1855 -0.32884 0.1033
1856 -0.48655 -0.76214
1857 -0.52914 -1.240806
1858 -0.48099 -0.4749529
1859 -0.44365 0.000623529
1860 -0.56697 0.1849647
1861 -0.49852 0.2010412
1862 -0.66067 -0.05396471
1863 -0.65128 0.02492941
1864 -0.68889 0.1683118
1865 -0.54835 0.2176176
1866 -0.48224 0.2321706
1867 -0.28883 0.2245412
1868 -0.39087 0.2423294
1869 -0.51989 0.2525235
1870 -0.57655 0.3044941
1871 -0.52248 0.2773882
1872 -0.38465 0.2329588
1873 -0.21444 0.1905176
1874 -0.34498 0.1949588
1875 -0.26797 0.1605882
1876 -0.19877 0.05635882
1877 -0.39755 0.1129529
1878 -0.3839 0.1863235
1879 -0.33905 0.2586529
1880 -0.41049 0.3121118
1881 -0.463 0.3310353
1882 -0.60039 0.2985882
1883 -0.71724 -0.7466706
1884 -0.95087 -2.906365
1885 -1.0842 -1.064006
1886 -0.9684 -0.4395706
1887 -0.77792 -0.4642882
1888 -0.64388 -0.1121941
1889 -0.55842 -0.2560118
1890 -0.64601 -0.4876824
1891 -0.74991 -0.2293647
1892 -0.63391 -0.02870588
1893 -0.4251 0.2847765
1894 -0.49177 0.4162471
1895 -0.5095 0.4287
1896 -0.39986 0.002894118
1897 -0.32002 -0.000347059
1898 -0.50211 0.1023529
1899 -0.53136 0.2700059
1900 -0.49791 0.3338765
1901 -0.52988 0.3581294
1902 -0.57023 -0.08960588
1903 -0.52956 -1.234694
1904 -0.50831 -0.2604471
1905 -0.52161 0.1420647
1906 -0.47686 0.3127588
1907 -0.63079 0.2426176
1908 -0.56283 0.2476765
1909 -0.41751 0.3734059
1910 -0.3666 0.3431824
1911 -0.4533 0.3708412
1912 -0.28871 -0.04595882
1913 -0.3259 -0.1639588
1914 -0.26812 0.1969059
1915 -0.34681 0.4240353
1916 -0.20205 0.4768941
1917 -0.32506 0.4923412
1918 -0.38828 0.4844353
1919 -0.28586 0.4253941
1920 -0.33113 0.2578235
1921 -0.54233 0.2781706
1922 -0.45969 0.3781765
1923 -0.41313 0.4230647
1924 -0.45273 0.3567765
1925 -0.35533 0.3956235
1926 -0.40981 0.4379824
1927 -0.43496 0.5080824
1928 -0.32374 0.3854765
1929 -0.37338 0.2689118
1930 -0.33247 0.3703529
1931 -0.3536 0.4059176
1932 -0.33759 0.2804176
1933 -0.51237 0.3073824
1934 -0.35199 0.3815588
1935 -0.17309 0.4109235
1936 -0.33101 0.5364412
1937 -0.41511 0.5048706
1938 -0.43442 0.4567882
1939 -0.432 0.4989647
1940 -0.47502 0.4767353
1941 -0.31193 0.5071412
1942 -0.18838 0.4434235
1943 -0.40314 0.4183176
1944 -0.38921 0.4734529
1945 -0.39732 0.5160824
1946 -0.45153 0.5430706
1947 -0.33225 0.5755706
1948 -0.32259 0.6222588
1949 -0.38182 0.5754765
1950 -0.27413 0.5665059
1951 -0.39441 0.5636647
1952 -0.27938 0.5625588
1953 -0.24591 0.5559706
1954 -0.28756 0.5813765
1955 -0.17946 0.6854588
1956 -0.27828 0.7882824
1957 -0.29779 0.9285941
1958 -0.37042 0.9548059
1959 -0.42426 0.9334882
1960 -0.44343 0.8780824
1961 -0.2623 0.7006176
1962 -0.19082 0.6346059
1963 -0.058911 -0.1098235
1964 -0.14902 -0.6617824
1965 -0.30618 0.02048235
1966 -0.38327 0.5627706
1967 -0.32082 0.8717
1968 -0.18603 0.6173353
1969 -0.38055 0.4898471
1970 -0.31984 0.9291824
1971 -0.081503 1.148141
1972 0.040092 1.238176
1973 0.0031422 1.131947
1974 -0.086801 1.069806
1975 -0.048403 0.7051882
1976 0.063386 1.099488
1977 0.057898 1.359747
1978 0.027141 1.410582
1979 0.14506 1.488047
1980 0.2867 1.620635
1981 0.2204 1.649035
1982 0.12418 0.5053882
1983 -0.055777 0.01715882
1984 0.15213 1.032424
1985 0.17986 1.446812
1986 0.1241 1.490188
1987 0.23671 1.647435
1988 0.22472 1.799371
1989 0.41549 1.977771
1990 0.52921 1.982535
1991 0.33116 0.8373353
1992 -0.21302 -0.7550588
1993 -0.18096 0.8583353
1994 0.09759 1.494635
1995 0.12517 1.783718
1996 0.18379 1.885294
1997 0.22867 1.964512
1998 0.50067 2.120171
1999 0.5426 2.219271
2000 0.48548 2.281865
2001 0.41263 2.249559
2002 0.48876 2.286294
2003 0.5718 2.203218
2004 0.44841 2.181229
2005 0.42532 2.163947
2006 0.44675 2.181306
2007 0.45707 2.234094
2008 0.70531 2.312056
2009 0.69004 2.33594
2010 0.62311 2.433314
2011 0.69121 2.509654
2012 0.71657 2.561108
2013 0.90899 2.604436
2014 1.0804 2.65889
2015 1.1261 2.722367
