Year Temperature Forcing
1850 -0.41097 0.2811778
1851 -0.33564 0.32299
1852 -0.37804 0.3263
1853 -0.34392 0.286125
1854 -0.37298 0.2989846
1855 -0.32378 0.2242429
1856 -0.42716 -0.6070467
1857 -0.37258 -1.133725
1858 -0.23707 -0.3731529
1859 -0.29063 0.04388235
1860 -0.29289 0.2164588
1861 -0.29517 0.1868235
1862 -0.22271 -0.04784706
1863 -0.26641 0.01718823
1864 -0.2717 0.1662941
1865 -0.30129 0.1640235
1866 -0.32121 0.1390412
1867 -0.39964 0.1516176
1868 -0.33033 0.1648941
1869 -0.34512 0.2133588
1870 -0.23169 0.3089471
1871 -0.24159 0.2816059
1872 -0.198 0.2617941
1873 -0.27028 0.1726471
1874 -0.15663 0.2370647
1875 -0.20652 0.2129471
1876 -0.20955 0.2142412
1877 -0.42542 0.3183588
1878 -0.31521 0.4024
1879 -0.13516 0.4732294
1880 -0.27282 0.5747647
1881 -0.18062 0.6212353
1882 -0.094664 0.6417235
1883 -0.3415 -0.3998412
1884 -0.6481 -2.530312
1885 -0.49026 -0.7325353
1886 -0.50566 -0.1354353
1887 -0.49082 -0.1636235
1888 -0.41372 0.1975118
1889 -0.32822 0.04888824
1890 -0.40819 -0.1777706
1891 -0.38256 0.03083529
1892 -0.32287 0.2263471
1893 -0.21298 0.4191588
1894 -0.28574 0.5056118
1895 -0.26958 0.5275824
1896 -0.27289 0.06352353
1897 -0.37084 0.04327647
1898 -0.36034 0.1769059
1899 -0.28266 0.3502118
1900 -0.33425 0.4140706
1901 -0.34026 0.3481765
1902 -0.27672 -0.07884706
1903 -0.70116 -1.237165
1904 -0.59179 -0.2995765
1905 -0.46087 0.07502353
1906 -0.34728 0.2085941
1907 -0.3525 0.1521941
1908 -0.13166 0.1761706
1909 -0.12906 0.3408235
1910 -0.21226 0.3778235
1911 -0.29994 0.3947412
1912 -0.2854 0.02029412
1913 -0.25292 -0.06300588
1914 -0.20156 0.2682118
1915 -0.20043 0.4127235
1916 -0.20506 0.4391706
1917 -0.19593 0.4253588
1918 -0.14827 0.4508118
1919 -0.27283 0.4240824
1920 -0.11119 0.2140471
1921 -0.040076 0.2441176
1922 -0.095209 0.3750176
1923 -0.26365 0.4293059
1924 -0.13168 0.3558882
1925 -0.13688 0.4111
1926 -0.24464 0.4231235
1927 -0.24015 0.4865706
1928 -0.1339 0.3967765
1929 -0.18401 0.2975471
1930 -0.20838 0.3626941
1931 -0.21565 0.3649529
1932 -0.16719 0.2674059
1933 -0.31496 0.3171588
1934 -0.095808 0.3445412
1935 0.076265 0.3626471
1936 -0.065672 0.4205235
1937 -0.0010532 0.4416235
1938 -0.03427 0.4030235
1939 -0.041151 0.3573412
1940 -0.12576 0.4168471
1941 -0.23337 0.4388706
1942 -0.075175 0.3247647
1943 -0.21043 0.2867
1944 -0.23008 0.3241412
1945 -0.20936 0.3341647
1946 -0.038757 0.2977529
1947 -0.1766 0.3508235
1948 -0.024895 0.4304706
1949 -0.0062752 0.3149353
1950 -0.17113 0.2952176
1951 -0.16159 0.3308412
1952 -0.19776 0.3486412
1953 -0.10693 0.3640059
1954 -0.066266 0.3729647
1955 -0.058151 0.4834176
1956 -0.10406 0.6758706
1957 -0.22658 0.7456588
1958 -0.14046 0.7636706
1959 -0.081153 0.7751882
1960 -0.049285 0.7095941
1961 -0.028372 0.5321176
1962 -0.12944 0.5099647
1963 0.017729 -0.2293353
1964 -0.10132 -0.8032882
1965 -0.21144 -0.1346235
1966 -0.20422 0.4381824
1967 -0.17107 0.7319118
1968 -0.10946 0.4830294
1969 -0.0079499 0.3035647
1970 -0.006216 0.7084882
1971 0.055847 0.8772941
1972 -0.013898 0.8982824
1973 -0.076406 0.7459588
1974 -0.13827 0.6877118
1975 -0.012819 0.3309588
1976 0.077391 0.7619765
1977 0.14792 1.005318
1978 0.014678 0.9943706
1979 0.093522 1.054706
1980 0.027312 1.153947
1981 0.07217 1.176676
1982 0.083541 0.001482353
1983 0.086088 -0.4788706
1984 0.13212 0.5079529
1985 0.14713 0.8990471
1986 -0.080328 0.9360353
1987 0.07968 1.086753
1988 -0.014233 1.239371
1989 0.12566 1.389629
1990 0.14467 1.371959
1991 0.16391 0.1947235
1992 -0.13015 -1.437188
1993 -0.0091825 0.06419412
1994 -0.13145 0.7020706
1995 0.056338 0.9868118
1996 0.12136 1.042806
1997 0.10848 1.099671
1998 0.11713 1.244094
1999 0.088481 1.356171
2000 0.18446 1.338141
2001 0.1666 1.236682
2002 0.22387 1.213347
2003 0.29392 1.117741
2004 0.29681 1.106012
2005 0.33024 1.134624
2006 0.24145 1.156353
2007 0.30887 1.157959
2008 0.43933 1.226169
2009 0.27681 1.229873
2010 0.12839 1.349471
2011 0.16194 1.373531
2012 0.211 1.446067
2013 0.44205 1.4685
2014 0.43702 1.52395
2015 0.34821 1.549389
