Year Temperature Forcing
1850 -0.26403 0.3082889
1851 -0.31643 0.24028
1852 -0.21259 0.2762364
1853 -0.32315 0.300475
1854 -0.31809 0.2638
1855 -0.27142 0.2259714
1856 -0.35972 -0.5855933
1857 -0.19022 -1.098563
1858 -0.15975 -0.4154412
1859 -0.2384 0.01855882
1860 -0.34709 0.2198941
1861 -0.2228 0.2379
1862 -0.20314 -0.03064118
1863 -0.28867 0.0234
1864 -0.038876 0.1378294
1865 0.0014215 0.1487647
1866 -0.14305 0.07687059
1867 -0.19014 0.06976471
1868 -0.076297 0.1255294
1869 -0.14312 0.1279118
1870 -0.25685 0.1640176
1871 -0.23244 0.1514529
1872 -0.14857 0.09841176
1873 -0.18794 -0.01881177
1874 -0.2159 0.03228823
1875 -0.33462 0.08848235
1876 -0.074448 0.05564706
1877 -0.025876 0.1205059
1878 -0.25604 0.2549471
1879 -0.26421 0.4056235
1880 -0.17152 0.4820588
1881 -0.18456 0.5185647
1882 -0.31802 0.4368588
1883 -0.20184 -0.5944118
1884 -0.38036 -2.784624
1885 -0.39686 -0.9393882
1886 -0.4223 -0.2796294
1887 -0.39716 -0.3169412
1888 -0.2384 0.02186471
1889 -0.062665 -0.08501765
1890 -0.20466 -0.2887
1891 -0.12455 -0.08074118
1892 -0.10654 0.1310412
1893 -0.30953 0.3467529
1894 -0.31354 0.3975294
1895 -0.19279 0.3391471
1896 -0.31141 -0.1432647
1897 -0.37642 -0.2030235
1898 -0.27286 -0.05385882
1899 -0.27447 0.1638353
1900 -0.071525 0.1788706
1901 -0.048516 0.2306941
1902 -0.27635 -0.1859647
1903 -0.35671 -1.3856
1904 -0.35472 -0.4363824
1905 -0.42481 0.02189412
1906 -0.28945 0.1241941
1907 -0.32926 0.02558235
1908 -0.33277 0.05745294
1909 -0.37858 0.1493882
1910 -0.13453 0.1758
1911 -0.061445 0.2481176
1912 -0.25752 -0.1521059
1913 -0.15813 -0.2773588
1914 -0.0054084 0.07321765
1915 -0.12789 0.2392529
1916 -0.079874 0.2721235
1917 -0.12417 0.3750941
1918 -0.20504 0.3638882
1919 -0.14923 0.2502235
1920 -0.22725 0.07101177
1921 -0.24288 0.1011176
1922 -0.15342 0.1493059
1923 -0.13036 0.2556882
1924 -0.090482 0.2367118
1925 -0.11375 0.2952647
1926 0.020426 0.3394588
1927 -0.20737 0.3951294
1928 -0.13922 0.2666176
1929 -0.17081 0.1764647
1930 -0.043816 0.2916824
1931 -0.16657 0.3021294
1932 -0.089853 0.1490294
1933 -0.095804 0.1999353
1934 0.098401 0.2249176
1935 0.13013 0.2696647
1936 -0.076957 0.3967588
1937 -0.11313 0.3617471
1938 0.025555 0.3372824
1939 0.07463 0.3717059
1940 0.065933 0.3669941
1941 -0.039363 0.3390471
1942 -0.11547 0.2044176
1943 0.021358 0.1695706
1944 0.055455 0.2314647
1945 -0.14953 0.3235235
1946 -0.10313 0.3382118
1947 -0.12007 0.3599765
1948 -0.10216 0.4204941
1949 0.015023 0.3484941
1950 -0.2139 0.3465529
1951 -0.078528 0.3473235
1952 -0.10799 0.3333118
1953 -0.18351 0.3338588
1954 -0.19894 0.3600294
1955 -0.059424 0.4027529
1956 0.10529 0.5343941
1957 -0.024372 0.6344235
1958 -0.049094 0.6394941
1959 0.028902 0.6108
1960 -0.040013 0.5531824
1961 0.02699 0.397
1962 -0.081324 0.3086353
1963 -0.17728 -0.5162647
1964 -0.33793 -1.125371
1965 -0.19616 -0.4523118
1966 -0.078164 0.1012471
1967 -0.20114 0.3984471
1968 -0.070569 0.1588059
1969 -0.19822 9e-04
1970 0.061428 0.4176118
1971 -0.048697 0.6199706
1972 -0.21023 0.7325647
1973 -0.19068 0.5637176
1974 -0.23666 0.4347353
1975 -0.21536 0.1202824
1976 -0.051821 0.5368353
1977 0.055767 0.7661294
1978 0.14368 0.8023588
1979 0.012944 0.8533
1980 0.068877 1.068294
1981 0.040635 1.091024
1982 0.072979 -0.1091118
1983 0.068745 -0.6506765
1984 0.11598 0.3959824
1985 0.15244 0.8589
1986 0.18675 0.8782176
1987 0.23137 1.015212
1988 0.21094 1.209094
1989 0.3741 1.325088
1990 0.47061 1.352624
1991 0.1968 0.2485353
1992 0.059328 -1.376218
1993 0.14339 0.1890118
1994 0.13081 0.8522235
1995 0.12965 1.090194
1996 0.28319 1.167429
1997 0.26242 1.216294
1998 0.27509 1.426871
1999 0.43388 1.565953
2000 0.4031 1.693465
2001 0.37904 1.607447
2002 0.40389 1.581835
2003 0.51001 1.482171
2004 0.58302 1.498682
2005 0.57969 1.480435
2006 0.57053 1.525006
2007 0.40117 1.575841
2008 0.47468 1.642437
2009 0.57242 1.66122
2010 0.72866 1.811529
2011 0.56558 1.867031
2012 0.51337 1.945042
2013 0.66303 2.029718
2014 0.63673 2.0722
2015 0.74197 2.095478
