Year Temperature Forcing
1850 -0.12544 0.2964667
1851 -0.24255 0.25553
1852 -0.21922 0.2544727
1853 -0.028798 0.2657417
1854 0.013457 0.2649
1855 -0.025626 0.20845
1856 -0.094349 -0.6751133
1857 -0.16375 -1.213663
1858 -0.20211 -0.4312294
1859 -0.24892 -5.29412e-05
1860 -0.11363 0.1787765
1861 -0.15928 0.2019353
1862 -0.1976 -0.1281294
1863 -0.087987 -0.05733529
1864 -0.076968 0.03294706
1865 -0.18442 0.05529412
1866 -0.26631 0.03721765
1867 -0.11163 0.03803529
1868 -0.17123 0.06168824
1869 -0.0060439 0.07365294
1870 -0.14634 0.1382118
1871 -0.096886 0.07668235
1872 -0.21648 0.03650588
1873 -0.17238 -0.004335294
1874 -0.052414 0.02074118
1875 -0.12446 -0.03197647
1876 -0.1781 -0.05172353
1877 -0.2175 0.004958824
1878 -0.052876 0.05952353
1879 -0.053214 0.1374353
1880 -0.19105 0.1967353
1881 -0.25318 0.2601
1882 -0.15954 0.2518941
1883 -0.44846 -0.7652176
1884 -0.5615 -2.932682
1885 -0.49386 -1.077559
1886 -0.54814 -0.4627353
1887 -0.30765 -0.5180588
1888 -0.2971 -0.1264353
1889 -0.4925 -0.2716941
1890 -0.46646 -0.5302
1891 -0.52463 -0.2483412
1892 -0.32369 0.006247059
1893 -0.37943 0.2505941
1894 -0.34135 0.3793176
1895 -0.34879 0.4170882
1896 -0.37982 -0.02735294
1897 -0.19849 -0.0295
1898 -0.05989 0.02417059
1899 -0.086673 0.1795235
1900 -0.1329 0.2261588
1901 -0.12187 0.2496529
1902 -0.17447 -0.2025647
1903 -0.22388 -1.355906
1904 -0.20362 -0.3918647
1905 -0.2424 -0.001311765
1906 -0.31627 0.1814059
1907 -0.211 0.1052235
1908 -0.22464 0.1152118
1909 -0.11393 0.2085059
1910 -0.14722 0.1842353
1911 -0.35341 0.1911235
1912 -0.2367 -0.2363118
1913 -0.35736 -0.3293882
1914 -0.22058 0.02767647
1915 -0.14497 0.2284412
1916 -0.10476 0.2806118
1917 -0.011176 0.3169706
1918 -0.060516 0.2597
1919 0.053688 0.2016824
1920 -0.043868 0.04541176
1921 -0.13035 0.09132353
1922 -0.033666 0.1693118
1923 0.076608 0.1767235
1924 0.068417 0.1342529
1925 -0.083566 0.1430471
1926 0.015646 0.1576353
1927 -0.0020683 0.1728353
1928 0.039106 0.03430588
1929 0.0035766 -0.03976471
1930 -0.038688 -0.008752941
1931 -0.035628 -0.02207647
1932 -0.12624 -0.09712941
1933 -0.14228 -0.004864706
1934 -0.20851 0.06210588
1935 -0.20468 0.1343529
1936 -0.27108 0.2133765
1937 -0.15234 0.2139588
1938 -0.19413 0.1406235
1939 -0.12665 0.1725824
1940 -0.20156 0.2123941
1941 -0.15794 0.2619588
1942 -0.033879 0.1571235
1943 -0.033674 0.1484294
1944 -0.096605 0.2316059
1945 -0.045646 0.3504176
1946 0.10658 0.3449118
1947 0.085971 0.4253706
1948 0.022113 0.4773412
1949 0.12935 0.4059529
1950 0.15349 0.3362941
1951 0.20263 0.2678176
1952 0.09447 0.2427824
1953 0.097612 0.2457294
1954 -0.01243 0.2075353
1955 0.10005 0.2376882
1956 0.1101 0.3309706
1957 0.030758 0.4326471
1958 0.029038 0.3872176
1959 -0.10693 0.4154706
1960 -0.085421 0.2791765
1961 0.11638 0.1087059
1962 0.056028 -0.02030588
1963 -0.051511 -0.7989588
1964 -0.27652 -1.438518
1965 -0.18193 -0.7827882
1966 -0.18644 -0.2876
1967 -0.22981 -0.007194118
1968 -0.16181 -0.2397588
1969 -0.046956 -0.3822706
1970 -0.16262 0.04101176
1971 -0.10105 0.2096647
1972 -0.015525 0.2777412
1973 -0.041582 0.1376529
1974 -0.070571 0.01366471
1975 -0.060994 -0.3413471
1976 0.11863 -0.01060588
1977 0.12915 0.2563
1978 0.17683 0.2806706
1979 0.09801 0.3344471
1980 0.080087 0.4724529
1981 0.081058 0.5052
1982 0.080561 -0.6779706
1983 -0.067178 -1.140435
1984 -0.017514 -0.09831176
1985 -0.052525 0.3298941
1986 -0.072886 0.3431235
1987 0.13897 0.4853
1988 0.17169 0.6958118
1989 0.29261 0.9365
1990 0.25741 0.9584059
1991 0.19748 -0.1457294
1992 -0.08481 -1.741453
1993 0.050482 -0.1256529
1994 0.19752 0.5150529
1995 0.21581 0.7998118
1996 0.27573 0.8962765
1997 0.29267 0.9246882
1998 0.39462 1.106724
1999 0.50676 1.274218
2000 0.52427 1.292912
2001 0.48231 1.224053
2002 0.50352 1.226118
2003 0.47502 1.219476
2004 0.66443 1.215494
2005 0.56077 1.158718
2006 0.45633 1.143306
2007 0.58166 1.144435
2008 0.5892 1.1928
2009 0.63396 1.214
2010 0.49054 1.334314
2011 0.64382 1.404408
2012 0.6517 1.453525
2013 0.72915 1.484045
2014 0.81001 1.56511
2015 0.77701 1.640722
