Year Temperature Forcing
1850 -0.40781 0.1397556
1851 -0.21263 0.17278
1852 -0.30979 0.1911545
1853 -0.22974 0.1920167
1854 -0.014771 0.1491154
1855 -0.14303 0.1012214
1856 -0.29713 -0.75604
1857 -0.44845 -1.22635
1858 -0.36154 -0.4668
1859 -0.51675 -0.004947059
1860 -0.33882 0.1489294
1861 -0.21234 0.2064647
1862 -0.32175 -0.06617647
1863 -0.46958 0.01237059
1864 -0.47754 0.1539647
1865 -0.45809 0.1948588
1866 -0.48872 0.1915824
1867 -0.20203 0.1877118
1868 -0.15393 0.2162294
1869 -0.37865 0.2430882
1870 -0.13336 0.2767294
1871 -0.13111 0.2819647
1872 -0.15722 0.263
1873 -0.22059 0.1947294
1874 -0.055825 0.1970941
1875 -0.25799 0.2152
1876 -0.30168 0.22
1877 -0.28106 0.2156412
1878 -0.29713 0.2018353
1879 -0.10387 0.2844353
1880 -0.10757 0.3322882
1881 -0.18213 0.3890588
1882 -0.049891 0.3624882
1883 -0.37545 -0.6824059
1884 -0.57165 -2.828629
1885 -0.68122 -1.003712
1886 -0.75783 -0.3904529
1887 -0.5667 -0.4101882
1888 -0.62013 -0.06734706
1889 -0.57148 -0.2258824
1890 -0.58526 -0.4364882
1891 -0.46502 -0.1976118
1892 -0.31281 -0.03002353
1893 -0.2434 0.1425588
1894 -0.34625 0.3115235
1895 -0.023486 0.4458118
1896 -0.18865 -0.03338235
1897 -0.26103 -0.01344118
1898 -0.44986 0.08267647
1899 -0.301 0.2540059
1900 -0.16505 0.3078647
1901 -0.34594 0.3065
1902 -0.49764 -0.1511765
1903 -0.42012 -1.285906
1904 -0.46771 -0.3150765
1905 -0.53506 0.1003294
1906 -0.20793 0.2629412
1907 -0.18028 0.2058588
1908 -0.28252 0.2374588
1909 -0.39152 0.3667941
1910 -0.42633 0.3888353
1911 -0.18011 0.4291529
1912 0.03143 -0.03584118
1913 -0.085376 -0.1170353
1914 -0.32301 0.2438176
1915 -0.20701 0.4057235
1916 0.034724 0.4616353
1917 0.096153 0.5060882
1918 -0.11436 0.5198647
1919 0.013966 0.4816882
1920 -0.25433 0.2815765
1921 -0.22178 0.3023294
1922 -0.1334 0.4022824
1923 0.04978 0.4468824
1924 -0.15675 0.3775706
1925 -0.31018 0.4078529
1926 -0.14383 0.4419294
1927 -0.080645 0.5214
1928 0.023503 0.3986706
1929 -0.03605 0.2891941
1930 -0.073173 0.3663882
1931 -0.11016 0.3584941
1932 -0.1485 0.2755059
1933 -0.28119 0.3187824
1934 -0.16633 0.3961882
1935 -0.14047 0.4219176
1936 0.13997 0.5274118
1937 -0.070752 0.5061471
1938 0.029147 0.4666471
1939 -0.16442 0.4977176
1940 -0.058814 0.5071059
1941 0.14413 0.5147529
1942 -0.12386 0.4443
1943 -0.18144 0.4020882
1944 -0.16145 0.4118353
1945 0.046 0.4865294
1946 -0.31837 0.4913353
1947 -0.14181 0.5326353
1948 0.1055 0.5668941
1949 0.052387 0.4916
1950 -0.1596 0.4764529
1951 -0.13362 0.4276529
1952 -0.042853 0.4109706
1953 -0.2629 0.3843824
1954 -0.092945 0.3855412
1955 -0.13675 0.4425588
1956 -0.035049 0.5109824
1957 -0.27734 0.6570353
1958 -0.20694 0.6511294
1959 -0.1263 0.6091353
1960 -0.26459 0.5255353
1961 -0.11197 0.3477412
1962 0.016654 0.2716765
1963 -0.22285 -0.4899588
1964 -0.22364 -1.062694
1965 -0.11162 -0.3625412
1966 -0.17291 0.1675
1967 -0.3391 0.4234647
1968 -0.30398 0.1878529
1969 -0.24533 0.04655882
1970 -0.29471 0.4663706
1971 -0.30428 0.6813176
1972 -0.24664 0.7784471
1973 0.13714 0.6938941
1974 0.084919 0.5316765
1975 -0.12956 0.2068353
1976 0.0016763 0.6256471
1977 0.11628 0.9090824
1978 0.15225 0.9344294
1979 -0.029096 0.9796059
1980 0.13875 1.147588
1981 0.24244 1.169547
1982 0.31989 0.02119412
1983 0.13893 -0.4712471
1984 0.051803 0.5760588
1985 0.20914 1.0136
1986 0.13005 1.041082
1987 -0.048835 1.228059
1988 0.1267 1.407476
1989 0.36743 1.615588
1990 0.55048 1.639318
1991 0.34364 0.5766235
1992 0.11307 -1.031482
1993 0.17653 0.5565059
1994 0.37175 1.215741
1995 0.34619 1.5214
1996 0.67899 1.6385
1997 0.72313 1.719212
1998 0.46389 1.915771
1999 0.5345 2.015629
2000 0.60484 2.117506
2001 0.68198 2.109724
2002 0.67494 2.143512
2003 0.85634 2.103624
2004 0.8543 2.109794
2005 1.068 2.109853
2006 1.2031 2.106553
2007 0.9849 2.139094
2008 0.8687 2.204556
2009 1.2493 2.24218
2010 1.3022 2.361543
2011 1.2346 2.419169
2012 0.95084 2.509517
2013 0.9815 2.569818
2014 0.97196 2.62226
2015 1.2661 2.678922
