Year Temperature Forcing
1850 -0.30292 0.2822333
1851 -0.32128 0.30192
1852 -0.29461 0.3158364
1853 -0.12474 0.2952917
1854 -0.4166 0.2813462
1855 -0.32012 0.2193143
1856 -0.20664 -0.64846
1857 -0.3405 -1.153769
1858 -0.28819 -0.4299941
1859 -0.27004 0.01987647
1860 -0.22418 0.1911941
1861 -0.18342 0.1907765
1862 -0.28539 -0.05785294
1863 -0.308 0.03116471
1864 -0.30119 0.1610706
1865 -0.10566 0.1483647
1866 -0.18769 0.09426471
1867 -0.30596 0.0638
1868 -0.3018 0.08455294
1869 -0.21874 0.1021176
1870 -0.36088 0.1472412
1871 -0.36105 0.1388353
1872 -0.21805 0.1103412
1873 -0.28873 0.04464706
1874 -0.16928 0.0748
1875 -0.17369 0.0939
1876 -0.28788 -0.02238823
1877 -0.22884 0.03454706
1878 -0.12542 0.1474059
1879 -0.22225 0.2461941
1880 -0.11332 0.3381
1881 -0.16645 0.4074882
1882 0.013554 0.3708824
1883 -0.32174 -0.6778647
1884 -0.83318 -2.824782
1885 -0.66269 -1.002165
1886 -0.57055 -0.3902706
1887 -0.3107 -0.4136588
1888 -0.2061 -0.06345294
1889 -0.19562 -0.2015529
1890 -0.31955 -0.4221882
1891 -0.37605 -0.1725294
1892 -0.18308 0.02282941
1893 -0.0038901 0.3117294
1894 -0.17456 0.4263647
1895 -0.13474 0.3305529
1896 0.015493 -0.1701588
1897 0.01416 -0.1754882
1898 0.012635 -0.08319412
1899 0.1264 0.08192353
1900 0.10377 0.1434
1901 0.1279 0.1341
1902 0.15405 -0.3361
1903 -0.1372 -1.488753
1904 -0.16416 -0.5409588
1905 -0.17401 -0.1591529
1906 -0.22399 -0.0108
1907 -0.14252 -0.08889412
1908 0.03417 -0.1035647
1909 -0.15241 0.01325294
1910 -0.021698 0.02422941
1911 -0.076507 0.05634118
1912 -0.23026 -0.2667529
1913 -0.44992 -0.3469294
1914 -0.33334 -0.04608823
1915 -0.22558 0.1200471
1916 -0.18245 0.2144529
1917 -0.14477 0.2556294
1918 -0.35316 0.2612765
1919 -0.30726 0.2278765
1920 -0.06727 0.02979412
1921 -0.19728 0.05349412
1922 -0.0060945 0.1365118
1923 -0.22752 0.1738765
1924 -0.094066 0.1455765
1925 -0.14153 0.1999412
1926 -0.069396 0.2375
1927 -0.081535 0.3009588
1928 -0.097591 0.1939824
1929 -0.23978 0.06922353
1930 -0.14391 0.1512
1931 -0.19968 0.2097
1932 -0.27655 0.1172824
1933 -0.19734 0.1475353
1934 -0.095078 0.2296882
1935 -0.13479 0.2811176
1936 0.13313 0.3880353
1937 -0.040698 0.4015294
1938 -0.07362 0.3548765
1939 0.0070069 0.3982176
1940 -0.039903 0.4237529
1941 0.064583 0.4228353
1942 0.082061 0.3514118
1943 -0.033235 0.3113471
1944 0.15122 0.3726471
1945 -0.064841 0.4103529
1946 0.034024 0.4266529
1947 0.087796 0.4567647
1948 0.023231 0.4836118
1949 0.13329 0.4200235
1950 0.054094 0.3828824
1951 0.07591 0.3603059
1952 -0.02995 0.3124294
1953 -0.049632 0.3045235
1954 -0.029866 0.3023647
1955 0.012521 0.3511471
1956 0.15073 0.4678176
1957 0.24479 0.5950588
1958 0.036048 0.6122176
1959 -0.022091 0.5872647
1960 0.10274 0.5054176
1961 0.060697 0.3139706
1962 -0.014924 0.2402706
1963 -0.011093 -0.5251353
1964 -0.34082 -1.116688
1965 -0.22122 -0.4466
1966 -0.022583 0.07510588
1967 -0.083319 0.3244706
1968 0.035592 0.05134706
1969 -0.069473 -0.08530588
1970 -0.058963 0.3538176
1971 0.15163 0.5522412
1972 0.011154 0.6800353
1973 -0.11133 0.5498706
1974 -0.013301 0.4046647
1975 -0.17597 0.02862941
1976 -0.18686 0.4204353
1977 -0.13044 0.6934294
1978 -0.13458 0.7444529
1979 0.043065 0.8315294
1980 0.050408 0.9801471
1981 0.17724 1.013565
1982 0.11756 -0.1420235
1983 -0.14767 -0.6418353
1984 -0.0061667 0.4013
1985 -0.0005717 0.8540647
1986 0.21466 0.9152059
1987 0.14168 1.051288
1988 0.18054 1.219694
1989 0.14974 1.393259
1990 0.39532 1.406229
1991 0.31726 0.3228647
1992 -0.10048 -1.266506
1993 0.13355 0.3029941
1994 0.35291 0.9584353
1995 0.20255 1.186271
1996 0.2177 1.257859
1997 0.43453 1.339724
1998 0.37526 1.501824
1999 0.34217 1.6005
2000 0.49658 1.654118
2001 0.43777 1.598082
2002 0.5525 1.577441
2003 0.62052 1.470412
2004 0.67393 1.450606
2005 0.72779 1.405224
2006 0.61938 1.395412
2007 0.49281 1.397665
2008 0.66598 1.438862
2009 0.66787 1.434213
2010 0.75175 1.544014
2011 0.70869 1.567669
2012 0.73962 1.654683
2013 0.64964 1.681182
2014 0.88203 1.675
2015 0.68076 1.719722
