Year Temperature Forcing
1850 -0.27952 0.2158222
1851 -0.25555 0.25261
1852 -0.053475 0.2649182
1853 -0.095548 0.2470583
1854 -0.23467 0.2063615
1855 -0.12915 0.1629571
1856 -0.20101 -0.69232
1857 -0.43861 -1.175712
1858 -0.42622 -0.4344529
1859 -0.32638 0.004488235
1860 -0.35938 0.1652529
1861 -0.25545 0.1894765
1862 -0.18631 -0.05545294
1863 -0.13317 0.01540588
1864 -0.064975 0.1422471
1865 -0.10569 0.1856059
1866 -0.18769 0.1694235
1867 -0.3636 0.1511412
1868 -0.29217 0.1672824
1869 -0.29745 0.1905176
1870 -0.25955 0.2490294
1871 -0.18821 0.2346353
1872 -0.17739 0.1972941
1873 -0.35005 0.1347941
1874 -0.39604 0.1223294
1875 -0.2914 0.1285471
1876 -0.16398 0.05744706
1877 -0.094327 0.1208471
1878 0.05232 0.1862294
1879 -0.039395 0.2449176
1880 -0.18281 0.3006706
1881 -0.10931 0.3499824
1882 -0.067984 0.3393059
1883 -0.16902 -0.6951294
1884 -0.6591 -2.860076
1885 -0.67279 -1.032
1886 -0.41564 -0.4216824
1887 -0.3071 -0.4498294
1888 -0.28831 -0.07182941
1889 -0.44927 -0.2404235
1890 -0.36344 -0.4953412
1891 -0.13259 -0.2336294
1892 -0.09994 -0.04357059
1893 -0.083224 0.2097882
1894 -0.21999 0.3395765
1895 -0.24775 0.3735588
1896 -0.20029 -0.05017647
1897 -0.23038 -0.06361177
1898 -0.18334 0.02154118
1899 -0.051375 0.1587647
1900 -0.077462 0.2255706
1901 -0.22246 0.2488882
1902 -0.22027 -0.2154059
1903 -0.23139 -1.369694
1904 -0.010488 -0.4150059
1905 -0.068895 -0.01371177
1906 -0.049266 0.1489824
1907 -0.216 0.09878824
1908 -0.40583 0.1014059
1909 -0.30477 0.2104176
1910 -0.21499 0.2169118
1911 -0.10243 0.2367118
1912 -0.0063149 -0.1748235
1913 -0.085107 -0.3038882
1914 -0.17051 0.02520588
1915 0.072914 0.2056647
1916 0.12384 0.2944882
1917 0.0075177 0.3134471
1918 0.16093 0.3164765
1919 -0.022167 0.2863588
1920 -0.087471 0.09535882
1921 -0.078996 0.1212765
1922 0.14357 0.2078706
1923 0.22497 0.2847647
1924 0.10675 0.2477353
1925 0.10601 0.2998588
1926 0.074607 0.3499412
1927 0.19118 0.4215118
1928 0.25259 0.3073294
1929 0.20344 0.1819353
1930 0.1317 0.2673471
1931 0.089277 0.2989941
1932 0.029569 0.2052294
1933 -0.024602 0.2136588
1934 -0.016927 0.3069412
1935 0.048571 0.3277059
1936 0.17683 0.4196059
1937 0.28092 0.4202235
1938 -0.0088808 0.3734059
1939 -0.074891 0.3653647
1940 -0.023963 0.3480353
1941 0.17609 0.3516235
1942 0.23676 0.2673118
1943 0.32633 0.2359647
1944 0.26537 0.2706647
1945 0.27848 0.2972882
1946 0.21097 0.2906647
1947 0.20324 0.3304118
1948 0.067555 0.3704529
1949 0.15344 0.3057471
1950 0.24664 0.2871765
1951 0.12671 0.2377471
1952 0.16398 0.1789059
1953 0.27585 0.1422235
1954 0.23911 0.1284882
1955 0.21298 0.2016706
1956 0.19008 0.3150824
1957 0.24213 0.4252235
1958 0.31868 0.4308471
1959 0.22181 0.3895059
1960 0.23637 0.2857412
1961 0.056571 0.08748823
1962 0.04638 -0.01020588
1963 0.058759 -0.7666
1964 0.027928 -1.373094
1965 0.011558 -0.7267941
1966 -0.23371 -0.2201824
1967 -0.11546 0.01612353
1968 -0.040124 -0.2557647
1969 -0.058623 -0.3806765
1970 -0.045521 0.05154706
1971 -0.14382 0.2551765
1972 -0.038617 0.3025118
1973 -0.13585 0.1829176
1974 -0.19398 0.07041765
1975 -0.062433 -0.3223471
1976 0.21154 0.07628823
1977 0.043652 0.3219588
1978 -0.034153 0.3546118
1979 -0.038871 0.4352941
1980 0.21805 0.5675294
1981 0.081771 0.5949529
1982 -0.011781 -0.5458471
1983 -0.032483 -1.046547
1984 0.079281 -0.02647059
1985 -0.13719 0.3886176
1986 -0.04558 0.4178882
1987 0.14117 0.5502471
1988 0.10668 0.7097471
1989 0.10529 0.8821765
1990 0.17958 0.8811412
1991 0.26422 -0.2134412
1992 -0.025697 -1.8247
1993 -0.0058095 -0.2540529
1994 -0.093192 0.3891294
1995 0.11799 0.6493706
1996 0.1291 0.722
1997 0.30621 0.7625412
1998 0.40687 0.9182412
1999 0.46576 1.018635
2000 0.48833 1.054547
2001 0.49033 1.012194
2002 0.48163 1.032376
2003 0.49105 0.9493706
2004 0.52591 0.9512529
2005 0.57101 0.9022235
2006 0.41029 0.9112353
2007 0.51127 0.9046059
2008 0.64306 0.9288188
2009 0.54515 0.9466667
2010 0.49764 1.044436
2011 0.47267 1.095115
2012 0.61546 1.164567
2013 0.57893 1.201055
2014 0.65781 1.26184
2015 0.46086 1.317267
