Year Temperature Forcing
1860 0.10624 -0.1151222
1861 0.060904 -0.13552
1862 0.055577 -0.3879545
1863 -0.14802 -0.3077417
1864 -0.012319 -0.1687462
1865 0.10537 -0.1055
1866 -0.095699 -0.08714667
1867 -0.021126 -0.055
1868 0.10249 -0.06397059
1869 0.17841 -0.05753529
1870 0.060828 -0.01850588
1871 0.23313 -0.000229412
1872 0.12739 0.02125882
1873 0.20719 -0.04925294
1874 0.22686 0.02147647
1875 0.38162 0.06801177
1876 0.30994 -0.01546471
1877 0.00018357 0.03975882
1878 0.17437 0.09034118
1879 0.27884 0.1878118
1880 0.21671 0.2333765
1881 0.16325 0.2961529
1882 0.31055 0.2504176
1883 0.28045 -0.8393118
1884 -0.053791 -3.005982
1885 -0.31981 -1.162124
1886 -0.21405 -0.6366824
1887 -0.23398 -0.7040824
1888 -0.015352 -0.3141588
1889 -0.13326 -0.5202471
1890 -0.32367 -0.7545706
1891 -0.32125 -0.5245588
1892 -0.25138 -0.3330588
1893 -0.062104 -0.04145882
1894 -0.14414 0.09098824
1895 0.011727 0.1823
1896 0.0045754 -0.2924471
1897 -0.13897 -0.2518294
1898 -0.029128 -0.1569529
1899 0.034514 0.03307059
1900 0.10352 0.1844353
1901 -0.037573 0.1724235
1902 -0.11527 -0.2390412
1903 -0.2115 -1.366453
1904 -0.15969 -0.3848588
1905 -0.12402 -0.009476471
1906 -0.16578 0.1571529
1907 -0.022905 0.02947059
1908 0.13891 -0.02450588
1909 -0.028535 0.1507353
1910 0.053161 0.1076
1911 0.21078 0.1079588
1912 -0.11082 -0.3560706
1913 -0.21269 -0.4746529
1914 -0.16944 -0.1791765
1915 0.0432 -0.05654118
1916 -0.06505 0.009558824
1917 -0.033944 -0.01326471
1918 -0.069141 0.009605882
1919 -0.20929 -0.07917059
1920 0.11119 -0.2359765
1921 0.14927 -0.2489353
1922 0.10793 -0.1597353
1923 0.19847 -0.1204294
1924 0.17463 -0.1404235
1925 0.26007 -0.08354706
1926 0.081531 -0.09582941
1927 0.07167 -0.02639412
1928 0.14468 -0.1279176
1929 0.015546 -0.2302941
1930 0.015977 -0.1551824
1931 0.13568 -0.1017647
1932 0.13678 -0.1456353
1933 0.039663 -0.1268882
1934 0.18345 0.02671176
1935 0.30681 0.007782353
1936 0.13431 0.1692176
1937 0.1596 0.1674529
1938 0.38963 0.1561353
1939 0.12247 0.1750706
1940 0.13778 0.2223353
1941 0.21877 0.2445353
1942 0.32203 0.2019353
1943 0.22179 0.1484235
1944 0.30882 0.2171412
1945 0.44527 0.2740235
1946 0.28868 0.3166294
1947 0.34721 0.3886235
1948 0.19779 0.4220588
1949 0.32221 0.3161118
1950 0.12591 0.2812059
1951 0.30628 0.1896941
1952 0.26984 0.1385059
1953 0.20121 0.05876471
1954 0.32791 -0.02391765
1955 0.31094 0.02823529
1956 0.54225 0.1021941
1957 0.4833 0.1391
1958 0.18748 0.1235118
1959 0.19982 0.0469
1960 0.14005 -0.07189412
1961 0.15713 -0.3003647
1962 0.062415 -0.4280706
1963 -0.047082 -1.220588
1964 -0.31478 -1.840982
1965 -0.30224 -1.200782
1966 -0.40669 -0.6581412
1967 -0.31539 -0.4819882
1968 -0.25731 -0.7784235
1969 -0.30003 -0.8363588
1970 -0.21989 -0.3859882
1971 -0.19937 -0.081
1972 -0.13851 -0.05262941
1973 -0.080565 -0.1163118
1974 0.017675 -0.1876294
1975 0.012956 -0.6125588
1976 -0.1733 -0.1623824
1977 -0.11388 0.1046235
1978 0.12229 0.1705471
1979 0.38202 0.2890294
1980 0.29727 0.4140471
1981 0.1461 0.4017706
1982 0.21012 -0.6927588
1983 -0.095106 -1.198171
1984 0.096228 -0.06117059
1985 0.11414 0.3805765
1986 0.061216 0.3430765
1987 0.31062 0.5156941
1988 0.30331 0.7212059
1989 0.34866 0.9618176
1990 0.32199 0.9829
1991 0.27502 -0.1199471
1992 0.10944 -1.591247
1993 0.037631 -0.000952941
1994 0.080367 0.7375765
1995 0.16524 0.9726941
1996 0.35057 1.044935
1997 0.54207 1.174818
1998 0.39967 1.3899
1999 0.57292 1.481829
2000 0.55505 1.566429
2001 0.61864 1.510676
2002 0.7434 1.574824
2003 0.7509 1.544971
2004 0.62915 1.528282
2005 0.71192 1.420553
2006 1.0324 1.388559
2007 0.91214 1.366759
2008 1.0331 1.430869
2009 1.0591 1.40688
2010 0.90543 1.490707
2011 0.87645 1.487846
2012 1.16 1.617117
2013 1.2964 1.677282
2014 1.0079 1.64951
2015 0.98136 1.7118
