Year Temperature Forcing
1861 -0.51012 0.03792
1862 -0.36271 -0.2302273
1863 -0.11695 -0.1768
1864 -0.27403 -0.03208461
1865 -0.64852 0.02699286
1866 -0.55404 0.02506667
1867 -0.57175 0.000425
1868 -0.6488 0.01517647
1869 -0.63612 0.06957059
1870 -0.48267 0.1235176
1871 -0.3877 0.1255529
1872 -0.29141 0.1198765
1873 -0.30535 0.06338824
1874 -0.37387 0.08055294
1875 -0.40652 0.06102941
1876 -0.22131 -0.07231177
1877 -0.29502 -0.02558235
1878 -0.54238 0.007635294
1879 -0.44731 0.04781176
1880 -0.50143 0.1084
1881 -0.48622 0.1572941
1882 -0.33366 0.1280412
1883 -0.39273 -0.9040353
1884 -0.87021 -2.995888
1885 -1.0154 -1.130518
1886 -0.84148 -0.4953471
1887 -0.72939 -0.4552647
1888 -0.41591 -0.1698353
1889 -0.38957 -0.2944882
1890 -0.44806 -0.4574647
1891 -0.68315 -0.2361824
1892 -0.65646 0.005217647
1893 -0.50133 0.3313824
1894 -0.14942 0.4664353
1895 -0.13994 0.4925588
1896 -0.60256 0.1262647
1897 -0.53312 0.1841588
1898 -0.46802 0.2259588
1899 -0.38464 0.3956118
1900 -0.36889 0.5167647
1901 -0.50957 0.5700059
1902 -0.62442 0.07107059
1903 -0.58919 -1.1726
1904 -0.40844 -0.2498941
1905 -0.4565 0.2520706
1906 -0.38694 0.4767471
1907 -0.32295 0.3387588
1908 -0.46847 0.3124765
1909 -0.61193 0.4012529
1910 -0.57055 0.3886647
1911 -0.34899 0.4133529
1912 -0.24675 0.009023529
1913 -0.64321 -0.1899353
1914 -0.52779 0.1386353
1915 -0.45836 0.3582647
1916 -0.39437 0.4465353
1917 -0.43894 0.4464294
1918 -0.44346 0.4313588
1919 -0.36594 0.3701882
1920 -0.44549 0.2104118
1921 -0.48305 0.2878529
1922 -0.16474 0.3500353
1923 -0.17292 0.4035471
1924 -0.33757 0.3257
1925 -0.2347 0.3361882
1926 -0.1105 0.4467647
1927 -0.12176 0.5135118
1928 -0.21527 0.3692647
1929 -0.46503 0.1989235
1930 -0.54607 0.3487353
1931 -0.34716 0.4051
1932 -0.2604 0.2920353
1933 -0.012381 0.3137471
1934 -0.33704 0.3475529
1935 -0.30435 0.3883706
1936 -0.24633 0.5582647
1937 -0.13693 0.5484588
1938 -0.04969 0.4148647
1939 -0.36994 0.4576118
1940 -0.35764 0.4325765
1941 -0.24586 0.4506235
1942 -0.17052 0.4480882
1943 -0.19051 0.4118647
1944 -0.35687 0.4601471
1945 -0.16165 0.5208647
1946 -0.08652 0.6098941
1947 0.0017259 0.6356059
1948 -0.10537 0.6645235
1949 -0.13377 0.6649059
1950 -0.089333 0.6270176
1951 0.16248 0.6939059
1952 -0.0070598 0.5945118
1953 -0.078003 0.5290824
1954 0.095953 0.5685118
1955 0.16092 0.6681353
1956 -0.030675 0.7434059
1957 -0.082016 0.8674706
1958 0.043396 0.8064647
1959 -0.029297 0.7637059
1960 -0.076904 0.6835588
1961 -0.13915 0.5603294
1962 0.04093 0.4746
1963 0.079106 -0.2859471
1964 -0.082221 -0.8519588
1965 -0.12493 -0.2254353
1966 -0.26917 0.3027353
1967 -0.27971 0.5633647
1968 -0.0061576 0.2590882
1969 -0.043372 0.1759588
1970 -0.10184 0.6578176
1971 -0.12209 0.8759176
1972 -0.02908 0.9743118
1973 0.020673 0.9120706
1974 0.0061632 0.7896412
1975 -0.096852 0.4853588
1976 0.064827 0.8649294
1977 0.28313 1.126559
1978 -0.012719 1.116347
1979 -0.0059149 1.217412
1980 0.12165 1.352724
1981 0.17442 1.348506
1982 0.27354 0.1978235
1983 -0.34677 -0.3095235
1984 -0.22447 0.6472059
1985 0.15215 1.075194
1986 0.31077 1.103535
1987 -0.11599 1.239224
1988 0.079918 1.387706
1989 0.27768 1.562606
1990 0.11549 1.539735
1991 0.19209 0.4750706
1992 0.0081929 -1.040971
1993 0.16425 0.6040647
1994 0.21777 1.148729
1995 0.030583 1.392647
1996 0.13258 1.483071
1997 0.20638 1.562624
1998 0.083481 1.774765
1999 0.021833 1.846806
2000 0.26614 1.864165
2001 0.48408 1.966029
2002 0.1229 1.959588
2003 0.27411 1.842553
2004 0.47588 1.880482
2005 0.61141 1.843271
2006 0.33145 1.902853
2007 0.40636 1.912682
2008 0.74688 1.919981
2009 0.46914 1.86328
2010 0.43455 1.942164
2011 0.54419 2.083485
2012 0.80552 2.180675
2013 0.74956 2.212055
2014 0.44467 2.23676
2015 0.62073 2.253356
