Year Temperature Forcing
1850 -0.43541 0.2032667
1851 -0.40168 0.23516
1852 -0.45543 0.2503455
1853 -0.40431 0.2564583
1854 -0.43025 0.2053154
1855 -0.45853 0.1883357
1856 -0.40097 -0.67192
1857 -0.42958 -1.169787
1858 -0.4618 -0.4302941
1859 -0.49892 0.03568823
1860 -0.51313 0.2053059
1861 -0.45228 0.2293824
1862 -0.44474 -0.04308235
1863 -0.46717 0.03101765
1864 -0.34725 0.1590588
1865 -0.32199 0.1812176
1866 -0.45244 0.1203765
1867 -0.31106 0.1275824
1868 -0.26228 0.1546
1869 -0.32079 0.1204176
1870 -0.32297 0.1724941
1871 -0.45202 0.1988941
1872 -0.33781 0.1669235
1873 -0.32235 0.1192471
1874 -0.35553 0.1244353
1875 -0.36205 0.1940647
1876 -0.23204 0.2944824
1877 -0.38341 0.3890353
1878 -0.4588 0.4861882
1879 -0.4101 0.5768824
1880 -0.34653 0.6756294
1881 -0.34189 0.7548294
1882 -0.45669 0.7342353
1883 -0.42233 -0.3009294
1884 -0.28648 -2.447829
1885 -0.37599 -0.6026706
1886 -0.34514 0.05801765
1887 -0.34752 -0.003070588
1888 -0.45794 0.3352941
1889 -0.52711 0.1707529
1890 -0.35466 -0.03674118
1891 -0.41481 0.2208235
1892 -0.52911 0.3506471
1893 -0.26085 0.4440235
1894 -0.243 0.5344882
1895 -0.36857 0.5855176
1896 -0.45386 0.1892941
1897 -0.42223 0.2063353
1898 -0.38641 0.2670118
1899 -0.31457 0.4153941
1900 -0.39902 0.5023824
1901 -0.48768 0.4995588
1902 -0.52249 0.03825882
1903 -0.46641 -1.119335
1904 -0.36194 -0.1175
1905 -0.35029 0.3138588
1906 -0.42448 0.4796647
1907 -0.40789 0.3782706
1908 -0.3489 0.3794706
1909 -0.37761 0.5106353
1910 -0.49357 0.5231706
1911 -0.47282 0.5837235
1912 -0.45297 0.1114294
1913 -0.35297 -0.0361
1914 -0.43513 0.2732294
1915 -0.4483 0.4841412
1916 -0.42625 0.5759647
1917 -0.33393 0.6084882
1918 -0.37126 0.6101588
1919 -0.30199 0.5586235
1920 -0.36723 0.3952882
1921 -0.43018 0.4044706
1922 -0.33525 0.4876647
1923 -0.36631 0.4984235
1924 -0.33458 0.4750353
1925 -0.15321 0.5614647
1926 -0.22274 0.6207176
1927 -0.25253 0.7106412
1928 -0.19884 0.5919765
1929 -0.23772 0.4971235
1930 -0.29038 0.6006412
1931 -0.25835 0.6247412
1932 -0.25034 0.5252412
1933 -0.28297 0.5410059
1934 -0.29694 0.5898412
1935 -0.16283 0.6427118
1936 -0.18248 0.7717412
1937 -0.21854 0.7807765
1938 -0.11909 0.7398235
1939 -0.077543 0.7943941
1940 -0.21669 0.8352882
1941 -0.16723 0.8471412
1942 -0.13946 0.7545647
1943 -0.13498 0.7089176
1944 -0.099931 0.7117471
1945 -0.090319 0.7678941
1946 -0.25663 0.7879412
1947 -0.21483 0.8055176
1948 -0.22165 0.8882294
1949 -0.11605 0.8455294
1950 -0.13533 0.8365176
1951 -0.16271 0.8133294
1952 -0.16277 0.8004471
1953 -0.22437 0.8049941
1954 -0.17999 0.7610824
1955 -0.2423 0.8664471
1956 -0.21449 1.000006
1957 -0.14799 1.173694
1958 -0.10696 1.203124
1959 -0.12988 1.172641
1960 -0.0095064 1.089759
1961 -0.035282 0.9830706
1962 -0.10348 0.9298941
1963 -0.23425 0.1775294
1964 -0.10442 -0.4117824
1965 -0.048943 0.2561941
1966 -0.031283 0.7686941
1967 -0.027613 1.043559
1968 -0.11119 0.8148353
1969 -0.024327 0.6704529
1970 -0.012705 1.107759
1971 -0.11574 1.374135
1972 -0.0064798 1.431394
1973 0.078026 1.240153
1974 -0.018893 1.118588
1975 -0.056071 0.7869412
1976 -0.17926 1.214518
1977 -0.064549 1.499641
1978 -0.020793 1.500788
1979 0.068474 1.589747
1980 0.069141 1.726718
1981 0.074679 1.782735
1982 0.015105 0.5940647
1983 0.16299 0.1161588
1984 0.094432 1.1954
1985 0.12855 1.630906
1986 0.14495 1.682341
1987 0.12459 1.771494
1988 0.058179 1.905571
1989 0.083361 2.069588
1990 0.092802 2.120594
1991 0.084557 1.019
1992 0.091027 -0.6323647
1993 0.061344 0.9190471
1994 0.19208 1.542647
1995 0.16549 1.756988
1996 0.22546 1.8236
1997 0.13759 1.839629
1998 0.15119 1.995712
1999 0.20165 2.111059
2000 0.23855 2.158676
2001 0.30539 2.045653
2002 0.23735 2.040594
2003 0.1907 1.913365
2004 0.35772 1.888512
2005 0.26298 1.889082
2006 0.46467 1.901624
2007 0.30833 1.876371
2008 0.30828 1.882912
2009 0.40576 1.879513
2010 0.47431 1.987729
2011 0.39914 2.033115
2012 0.41105 2.134333
2013 0.36896 2.139955
2014 0.43903 2.22965
2015 0.3965 2.252167
