Year Temperature Forcing
1850 -0.11101 0.2191778
1851 -0.11302 0.21645
1852 -0.035679 0.2407636
1853 0.038179 0.2421917
1854 -0.11384 0.2014231
1855 -0.1666 0.1424643
1856 -0.12718 -0.6992667
1857 -0.17362 -1.191037
1858 -0.17196 -0.4428647
1859 -0.23656 0.0031
1860 -0.12567 0.1735529
1861 -0.13096 0.1915882
1862 -0.071558 -0.07545294
1863 -0.0019449 -0.008594118
1864 -0.23069 0.09275294
1865 -0.28976 0.1102353
1866 -0.19904 0.1125471
1867 -0.1121 0.1206059
1868 0.063849 0.1453941
1869 0.065159 0.1613824
1870 -0.10863 0.2013588
1871 -0.031606 0.2036294
1872 0.13183 0.1831647
1873 0.073736 0.1031059
1874 -0.17366 0.1183235
1875 -0.16947 0.1413941
1876 -0.1238 0.0937
1877 0.097205 0.1304353
1878 0.10575 0.1785235
1879 -0.21339 0.2434059
1880 -0.23783 0.3255059
1881 -0.22637 0.3764294
1882 -0.12847 0.3538647
1883 -0.051935 -0.6915412
1884 -0.14267 -2.880935
1885 -0.42755 -1.064518
1886 -0.39782 -0.4515882
1887 -0.28158 -0.4661176
1888 -0.20738 -0.1153176
1889 0.069669 -0.2885294
1890 0.18837 -0.5393471
1891 -0.14419 -0.2897882
1892 -0.45156 -0.1261294
1893 -0.28501 0.09585882
1894 -0.14271 0.2393765
1895 -0.028534 0.2746235
1896 -0.0044768 -0.1866353
1897 -0.1385 -0.1901235
1898 -0.23073 -0.08567647
1899 -0.10651 0.06589412
1900 -0.067861 0.1055529
1901 -0.12219 0.1379294
1902 -0.21507 -0.3011
1903 -0.2138 -1.468741
1904 -0.30102 -0.4966294
1905 -0.25105 -0.1036059
1906 -0.12064 0.06744706
1907 0.011469 0.0162
1908 0.025407 0.02581765
1909 -0.023005 0.1505941
1910 -0.11529 0.1775
1911 -0.052075 0.2028824
1912 -0.0064697 -0.2103235
1913 -0.1237 -0.3014941
1914 -0.19673 0.04361176
1915 -0.081318 0.2183647
1916 -0.084799 0.3035647
1917 -0.14251 0.3638706
1918 -0.042375 0.3759706
1919 -0.056587 0.3320294
1920 -0.084079 0.1784647
1921 0.062004 0.2060412
1922 0.15534 0.3359235
1923 0.078788 0.4231941
1924 -0.045127 0.3943412
1925 -0.085589 0.4042706
1926 -0.023432 0.4436176
1927 -0.015274 0.5055588
1928 -0.037485 0.4178529
1929 0.040188 0.315
1930 0.14878 0.4127824
1931 0.35725 0.4058471
1932 0.4338 0.3145353
1933 -0.10141 0.3595941
1934 -0.19354 0.4581882
1935 0.070632 0.4683824
1936 0.054151 0.5587588
1937 0.12815 0.5581118
1938 0.14107 0.5079588
1939 0.10766 0.5321
1940 0.099766 0.5123588
1941 -0.026867 0.5148059
1942 -0.034106 0.4798706
1943 0.11622 0.4656765
1944 0.12206 0.4992176
1945 0.037811 0.5146706
1946 0.095184 0.5190706
1947 0.21486 0.5535353
1948 0.20438 0.6392235
1949 0.087978 0.5771176
1950 0.20415 0.5444235
1951 0.40477 0.4978647
1952 0.47846 0.4755353
1953 0.076103 0.4627059
1954 -0.054121 0.4195882
1955 0.083794 0.4972706
1956 0.14943 0.5787
1957 0.1822 0.6963353
1958 0.25854 0.6639
1959 0.37558 0.5997471
1960 0.50696 0.5039
1961 0.31114 0.3276353
1962 -0.11525 0.2471118
1963 -0.1293 -0.5343647
1964 -0.16658 -1.123088
1965 0.11719 -0.4799294
1966 0.30807 0.05811177
1967 -0.087799 0.3042353
1968 -0.29923 0.03478824
1969 -0.20085 -0.09474706
1970 -0.09936 0.3412882
1971 -0.11366 0.5524235
1972 -0.1469 0.6154118
1973 -0.17726 0.4948
1974 -0.036734 0.3800118
1975 0.24949 0.03418823
1976 0.31059 0.4291118
1977 -0.09276 0.6919647
1978 -0.14844 0.7228529
1979 0.0084633 0.8027529
1980 0.12966 0.9550176
1981 0.13709 0.9693824
1982 -0.050406 -0.1830941
1983 -0.22452 -0.6661294
1984 -0.12919 0.3757412
1985 -0.010936 0.8004
1986 0.095348 0.8121176
1987 0.17487 0.9596412
1988 0.074292 1.150659
1989 0.12037 1.339641
1990 0.19261 1.354288
1991 0.28106 0.2566176
1992 0.21357 -1.312471
1993 0.48444 0.3118765
1994 0.21379 0.9723647
1995 0.061881 1.237435
1996 0.19682 1.331818
1997 0.45458 1.407129
1998 0.46562 1.599494
1999 0.48586 1.7465
2000 0.46208 1.808447
2001 0.46105 1.786388
2002 0.56626 1.807635
2003 0.69728 1.775118
2004 0.89642 1.814682
2005 0.87726 1.804776
2006 0.56288 1.790506
2007 0.59077 1.807094
2008 0.62468 1.869012
2009 0.77716 1.887973
2010 0.8309 1.993971
2011 0.64325 2.037854
2012 0.80009 2.146617
2013 0.56288 2.210945
2014 0.59077 2.27183
2015 0.62468 2.335622
